Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
119,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,25,11,1216,13.5,2,2,4,2,0.15,0.15,0.16,0.26,0.42,0.16,0.42
120,Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,16,9,756,8.4,4,0,4,4,0.48,0.00,0.28,0.05,0.33,0.28,0.33
121,Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,4,0,84,0.9,0,0,0,0,0.00,0.00,0.46,0.00,0.46,0.46,0.46
122,Mauro Arambarri,URU,MF,Getafe,La Liga,27,7,3,339,3.8,0,0,0,0,0.00,0.00,0.14,0.01,0.15,0.14,0.15
123,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,11,5,543,6.0,0,0,0,0,0.00,0.00,0.02,0.00,0.02,0.02,0.02
124,Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,1,0,6,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125,Julian Araujo,MEX,DF,Las Palmas,La Liga,21,25,15,1462,16.2,1,0,1,1,0.06,0.00,0.04,0.07,0.11,0.04,0.11
126,Ronald Araújo,URU,DF,Barcelona,La Liga,24,25,21,1997,22.2,1,2,3,1,0.05,0.09,0.09,0.07,0.16,0.09,0.16
127,Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,12,11,943,10.5,0,0,0,0,0.00,0.00,0.00,0.07,0.07,0.00,0.07
128,Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,29,21,1832,20.4,4,1,5,4,0.20,0.05,0.27,0.14,0.41,0.27,0.41
129,Cameron Archer,ENG,MF,Aston Villa,Premier League,22,1,0,6,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Alphonse Areola,FRA,GK,West Ham,Premier League,30,31,31,2699,30.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Adu Ares,ESP,FW,Athletic Club,La Liga,21,12,2,265,2.9,0,0,0,0,0.00,0.00,0.04,0.01,0.05,0.04,0.05
132,Jesús Areso,ESP,DF,Osasuna,La Liga,24,37,29,2660,29.6,1,6,7,1,0.03,0.20,0.01,0.12,0.13,0.01,0.13
133,Simone Aresti,ITA,GK,Cagliari,Serie A,37,1,0,1,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,Matias Arezo,URU,FW,Granada,La Liga,20,14,3,369,4.1,0,0,0,0,0.00,0.00,0.28,0.01,0.30,0.28,0.30
135,Iñigo Arguibide,ESP,DF,Osasuna,La Liga,18,1,0,17,0.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Yoël Armougom,FRA,"DF,MF",Clermont Foot,Ligue 1,25,5,2,234,2.6,0,0,0,0,0.00,0.00,0.01,0.11,0.12,0.01,0.12
137,José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28,26,9,929,10.3,2,1,3,2,0.19,0.10,0.17,0.17,0.34,0.17,0.34
138,Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,Ligue 1,20,26,15,1284,14.3,2,0,2,2,0.14,0.00,0.05,0.10,0.16,0.05,0.16
139,Marko Arnautović,AUT,FW,Inter,Serie A,34,27,5,801,8.9,5,3,8,5,0.56,0.34,0.56,0.29,0.85,0.56,0.85
140,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,29,30,27,2506,27.8,2,1,3,2,0.07,0.04,0.04,0.14,0.18,0.04,0.18
141,Mohamed El Arouch,FRA,FW,Lyon,Ligue 1,19,1,0,2,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Sergio Arribas,ESP,"MF,FW",Almería,La Liga,21,34,22,2047,22.7,9,4,13,9,0.40,0.18,0.38,0.16,0.54,0.38,0.54
143,Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,14,13,1198,13.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Arthur,BRA,DF,Leverkusen,Bundesliga,20,4,2,184,2.0,0,2,2,0,0.00,0.98,0.04,0.15,0.19,0.04,0.19
145,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,28,29,26,1986,22.1,6,1,7,6,0.27,0.05,0.36,0.06,0.42,0.36,0.42
146,Marco Asensio,ESP,"MF,FW",Paris S-G,Ligue 1,27,19,13,1113,12.4,4,5,9,4,0.32,0.40,0.26,0.47,0.73,0.26,0.73
147,Kristjan Asllani,ALB,MF,Inter,Serie A,21,23,6,787,8.7,1,2,3,1,0.11,0.23,0.07,0.12,0.19,0.06,0.18
148,Joel Asoro,SWE,"FW,MF",Metz,Ligue 1,24,20,10,848,9.4,2,1,3,2,0.21,0.11,0.06,0.03,0.09,0.06,0.09
149,Jonathan Asp Jensen,DEN,FW,Bayern Munich,Bundesliga,17,1,0,1,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Iago Aspas,ESP,FW,Celta Vigo,La Liga,35,35,31,2707,30.1,9,10,19,6,0.30,0.33,0.38,0.34,0.72,0.25,0.59
151,Lorenz Assignon,TOG,DF,Burnley,Premier League,23,15,15,1234,13.7,1,2,3,1,0.07,0.15,0.03,0.19,0.22,0.03,0.22
152,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,23,14,12,1011,11.2,1,1,2,1,0.09,0.09,0.04,0.16,0.20,0.04,0.20
153,Youcef Atal,ALG,DF,Nice,Ligue 1,27,6,5,359,4.0,1,0,1,1,0.25,0.00,0.03,0.20,0.24,0.03,0.24
