Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
1430,Cyle Larin,CAN,FW,Mallorca,La Liga,28,35,20,1823,20.3,3,2,5,3,0.15,0.10,0.45,0.07,0.52,0.45,0.52
1431,Yasser Larouci,ALG,DF,Sheffield Utd,Premier League,22,11,6,531,5.9,0,0,0,0,0.00,0.00,0.04,0.05,0.09,0.04,0.09
1432,Hugo Larsson,SWE,MF,Eint Frankfurt,Bundesliga,19,29,21,1886,21.0,2,1,3,2,0.10,0.05,0.06,0.07,0.13,0.06,0.13
1433,Jamaal Lascelles,ENG,DF,Newcastle Utd,Premier League,29,16,13,1080,12.0,1,0,1,1,0.08,0.00,0.06,0.01,0.07,0.06,0.07
1434,Juanmi Latasa,ESP,FW,Getafe,La Liga,22,32,15,1555,17.3,2,0,2,2,0.12,0.00,0.21,0.09,0.29,0.20,0.29
1435,Toni Lato,ESP,DF,Mallorca,La Liga,25,28,16,1544,17.2,0,1,1,0,0.00,0.06,0.01,0.08,0.09,0.01,0.09
1436,Armand Lauriente,FRA,FW,Sassuolo,Serie A,24,37,35,2908,32.3,5,4,9,5,0.15,0.12,0.18,0.12,0.30,0.18,0.30
1437,Roméo Lavia,BEL,MF,Chelsea,Premier League,19,1,0,33,0.4,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438,Lázaro,BRA,"FW,MF",Almería,La Liga,21,14,2,285,3.2,0,0,0,0,0.00,0.00,0.28,0.17,0.45,0.28,0.45
1439,Valentino Lazaro,AUT,"DF,MF",Torino,Serie A,27,35,21,1994,22.2,0,4,4,0,0.00,0.18,0.08,0.13,0.21,0.08,0.21
1440,Darko Lazović,SRB,"FW,MF",Hellas Verona,Serie A,32,32,22,1928,21.4,3,2,5,2,0.14,0.09,0.13,0.21,0.34,0.09,0.30
1441,Manuel Lazzari,ITA,DF,Lazio,Serie A,29,24,19,1671,18.6,0,2,2,0,0.00,0.11,0.06,0.07,0.13,0.06,0.13
1442,Théo Le Bris,FRA,"DF,MF",Lorient,Ligue 1,20,26,15,1516,16.8,0,2,2,0,0.00,0.12,0.07,0.10,0.17,0.07,0.17
1443,Julien Le Cardinal,FRA,DF,Brest,Ligue 1,25,12,5,473,5.3,0,0,0,0,0.00,0.00,0.05,0.02,0.08,0.05,0.08
1444,Julien Le Cardinal,FRA,DF,Lens,Ligue 1,25,2,0,58,0.6,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1445,Jérémy Le Douaron,FRA,FW,Brest,Ligue 1,25,33,19,1618,18.0,4,0,4,4,0.22,0.00,0.34,0.06,0.40,0.34,0.40
1446,Enzo Le Fée,FRA,MF,Rennes,Ligue 1,23,25,19,1527,17.0,0,1,1,0,0.00,0.06,0.03,0.11,0.14,0.03,0.14
1447,Vincent Le Goff,FRA,"DF,MF",Lorient,Ligue 1,33,9,8,541,6.0,1,1,2,1,0.17,0.17,0.02,0.15,0.17,0.02,0.17
1448,Robin Le Normand,ESP,DF,Real Sociedad,La Liga,26,29,28,2469,27.4,2,0,2,2,0.07,0.00,0.04,0.00,0.04,0.04,0.04
1449,Nicola Leali,ITA,GK,Genoa,Serie A,30,3,2,176,2.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1450,Rafael Leão,POR,FW,Milan,Serie A,24,34,29,2512,27.9,9,9,18,9,0.32,0.32,0.36,0.32,0.68,0.36,0.68
1451,Adrien Lebeau,FRA,"MF,FW",Brest,Ligue 1,24,7,0,54,0.6,0,1,1,0,0.00,1.67,0.10,0.77,0.87,0.10,0.87
1452,Jean-Louis Leca,FRA,GK,Lens,Ligue 1,37,1,1,90,1.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1453,Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,32,30,30,2700,30.0,0,1,1,0,0.00,0.03,0.00,0.02,0.02,0.00,0.02
1454,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,30,34,34,3048,33.9,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455,Pierre Lees-Melou,FRA,MF,Brest,Ligue 1,30,29,29,2517,28.0,4,0,4,4,0.14,0.00,0.09,0.08,0.17,0.09,0.17
1456,Diogo Leite,POR,DF,Union Berlin,Bundesliga,24,32,31,2702,30.0,0,0,0,0,0.00,0.00,0.03,0.01,0.03,0.03,0.03
1457,Maxim Leitsch,GER,DF,Mainz 05,Bundesliga,25,7,4,379,4.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1458,Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,32,37,37,3327,37.0,3,1,4,3,0.08,0.03,0.09,0.02,0.11,0.09,0.11
1459,Stefan Lekovic,SRB,DF,Villarreal,La Liga,19,1,0,29,0.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1460,Iñigo Lekue,ESP,DF,Athletic Club,La Liga,30,27,22,2002,22.2,0,2,2,0,0.00,0.09,0.01,0.05,0.06,0.01,0.06
1461,Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,27,3,3,164,1.8,0,0,0,0,0.00,0.00,0.09,0.01,0.10,0.09,0.10
1462,Mario Lemina,GAB,MF,Wolves,Premier League,29,35,34,2968,33.0,4,1,5,4,0.12,0.03,0.14,0.05,0.19,0.14,0.19
1463,Álvaro Lemos,ESP,DF,Las Palmas,La Liga,30,4,3,251,2.8,0,0,0,0,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1464,Ruben Lendinez,ESP,DF,Valencia,La Liga,20,1,0,11,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1465,Clément Lenglet,FRA,DF,Aston Villa,Premier League,28,14,14,1153,12.8,0,1,1,0,0.00,0.08,0.07,0.06,0.13,0.07,0.13
1466,Bernd Leno,GER,GK,Fulham,Premier League,31,38,38,3420,38.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1467,Christopher Lenz,GER,"DF,MF",RB Leipzig,Bundesliga,28,5,0,47,0.5,0,0,0,0,0.00,0.00,0.00,0.22,0.22,0.00,0.22
1468,Christopher Lenz,GER,DF,Eint Frankfurt,Bundesliga,28,1,0,10,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1469,Johann Lepenant,FRA,MF,Lyon,Ligue 1,20,6,2,253,2.8,0,0,0,0,0.00,0.00,0.05,0.03,0.08,0.05,0.08
1470,Jefferson Lerma,COL,"MF,DF",Crystal Palace,Premier League,28,28,27,2400,26.7,1,1,2,1,0.04,0.04,0.10,0.08,0.18,0.10,0.18
1471,Léo Leroy,FRA,MF,Montpellier,Ligue 1,23,21,3,499,5.5,0,1,1,0,0.00,0.18,0.15,0.13,0.28,0.15,0.28
1472,Robert Lewandowski,POL,FW,Barcelona,La Liga,34,35,32,2750,30.6,19,8,27,15,0.62,0.26,0.59,0.16,0.75,0.49,0.65
1473,Jamie Leweling,GER,"FW,MF",Stuttgart,Bundesliga,22,34,17,1523,16.9,4,4,8,4,0.24,0.24,0.36,0.19,0.55,0.36,0.55
1474,Rico Lewis,ENG,"DF,MF",Manchester City,Premier League,18,16,8,809,9.0,2,0,2,2,0.22,0.00,0.07,0.12,0.19,0.07,0.19
1475,Keane Lewis-Potter,ENG,"FW,DF",Brentford,Premier League,22,30,15,1441,16.0,3,1,4,3,0.19,0.06,0.39,0.11,0.50,0.39,0.50
1476,Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,27,15,14,1265,14.1,1,0,1,1,0.07,0.00,0.08,0.08,0.16,0.08,0.16
1477,Matthijs de Ligt,NED,DF,Bayern Munich,Bundesliga,23,22,16,1390,15.4,2,0,2,2,0.13,0.00,0.11,0.01,0.12,0.11,0.12
1478,Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,29,19,14,1328,14.8,1,1,2,1,0.07,0.07,0.05,0.02,0.07,0.05,0.07
1479,Jesper Lindstrøm,DEN,"FW,MF",Napoli,Serie A,23,22,2,430,4.8,0,0,0,0,0.00,0.00,0.14,0.22,0.36,0.14,0.36
1480,Jesper Lindstrøm,DEN,FW,Eint Frankfurt,Bundesliga,23,1,1,83,0.9,0,0,0,0,0.00,0.00,0.20,0.00,0.20,0.20,0.20
1481,Karol Linetty,POL,MF,Torino,Serie A,28,28,19,1858,20.6,0,0,0,0,0.00,0.00,0.02,0.04,0.07,0.02,0.07
1482,Samuel Lino,BRA,"DF,MF",Atlético Madrid,La Liga,23,34,25,2080,23.1,4,5,9,4,0.17,0.22,0.24,0.21,0.45,0.24,0.45
1483,Luca Lipani,ITA,MF,Sassuolo,Serie A,18,8,5,384,4.3,0,0,0,0,0.00,0.00,0.02,0.05,0.07,0.02,0.07
1484,Pol Lirola,ESP,DF,Frosinone,Serie A,25,25,18,1536,17.1,2,1,3,2,0.12,0.06,0.08,0.06,0.14,0.08,0.14
1485,Marcin Listkowski,POL,FW,Lecce,Serie A,25,1,0,8,0.1,0,0,0,0,0.00,0.00,0.47,0.00,0.47,0.47,0.47
1486,Valentino Livramento,ENG,DF,Newcastle Utd,Premier League,20,26,12,1314,14.6,1,0,1,1,0.07,0.00,0.03,0.05,0.08,0.03,0.08
1487,Dejan Ljubicic,AUT,"MF,FW",Köln,Bundesliga,25,26,24,2048,22.8,0,2,2,0,0.00,0.09,0.08,0.13,0.22,0.08,0.22
1488,Javier Llabrés,ESP,"MF,FW",Mallorca,La Liga,20,16,1,247,2.7,1,0,1,1,0.36,0.00,0.25,0.11,0.37,0.25,0.37
1489,Diego Llorente,ESP,DF,Roma,Serie A,29,29,27,2170,24.1,1,1,2,1,0.04,0.04,0.01,0.02,0.04,0.01,0.04
1490,Marcos Llorente,ESP,"MF,DF",Atlético Madrid,La Liga,28,37,29,2565,28.5,6,4,10,6,0.21,0.14,0.14,0.20,0.34,0.14,0.34
1491,Gautier Lloris,FRA,DF,Le Havre,Ligue 1,28,31,31,2778,30.9,2,0,2,2,0.06,0.00,0.07,0.01,0.07,0.07,0.07
1492,Abou Lô,SEN,"MF,DF",Metz,Ligue 1,23,6,2,197,2.2,0,0,0,0,0.00,0.00,0.06,0.16,0.22,0.06,0.22
1493,Giovani Lo Celso,ARG,MF,Tottenham,Premier League,27,22,4,506,5.6,2,2,4,2,0.36,0.36,0.10,0.34,0.45,0.10,0.45
1494,Stanislav Lobotka,SVK,MF,Napoli,Serie A,28,38,38,3282,36.5,0,1,1,0,0.00,0.03,0.02,0.04,0.05,0.02,0.05
1495,Manuel Locatelli,ITA,MF,Juventus,Serie A,25,36,34,3008,33.4,1,4,5,1,0.03,0.12,0.04,0.04,0.08,0.04,0.08
1496,Bradley Locko,FRA,DF,Brest,Ligue 1,21,33,33,2959,32.9,0,3,3,0,0.00,0.09,0.01,0.05,0.06,0.01,0.06
1497,Tom Lockyer,WAL,DF,Luton Town,Premier League,28,14,14,1169,13.0,1,1,2,1,0.08,0.08,0.08,0.05,0.13,0.08,0.13
1498,Renan Lodi,BRA,DF,Marseille,Ligue 1,25,14,14,1235,13.7,0,0,0,0,0.00,0.00,0.02,0.10,0.12,0.02,0.12
1499,Ruben Loftus-Cheek,ENG,MF,Milan,Serie A,27,29,26,2068,23.0,6,1,7,6,0.26,0.04,0.16,0.10,0.26,0.16,0.26
1500,Andy Logbo,FRA,FW,Le Havre,Ligue 1,19,10,2,248,2.8,0,0,0,0,0.00,0.00,0.12,0.04,0.16,0.12,0.16
1501,Enzo Loiodice,FRA,MF,Las Palmas,La Liga,22,34,19,1790,19.9,0,1,1,0,0.00,0.05,0.03,0.07,0.09,0.03,0.09
1502,Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,25,35,30,2747,30.5,6,2,8,6,0.20,0.07,0.22,0.07,0.29,0.22,0.29
1503,Ademola Lookman,NGA,"FW,MF",Atalanta,Serie A,25,31,22,1894,21.0,11,7,18,11,0.52,0.33,0.43,0.25,0.68,0.43,0.68
1504,Noah Loosli,SUI,DF,Bochum,Bundesliga,26,10,2,346,3.8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1505,Anthony Lopes,POR,GK,Lyon,Ligue 1,32,31,31,2790,31.0,0,0,0,0,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1506,David López,ESP,DF,Girona,La Liga,33,25,25,1965,21.8,3,0,3,3,0.14,0.00,0.10,0.01,0.11,0.09,0.10
1507,Diego López,ESP,"MF,FW",Valencia,La Liga,21,36,30,2656,29.5,3,6,9,3,0.10,0.20,0.12,0.18,0.31,0.12,0.31
1508,Fermin López,ESP,"MF,FW",Barcelona,La Liga,20,31,14,1446,16.1,8,0,8,8,0.50,0.00,0.47,0.07,0.54,0.47,0.54
1509,Javi López,ESP,DF,Alavés,La Liga,21,32,25,2386,26.5,1,3,4,1,0.04,0.11,0.04,0.11,0.15,0.04,0.15
1510,Maxime Lopez,FRA,MF,Fiorentina,Serie A,25,19,7,800,8.9,0,0,0,0,0.00,0.00,0.02,0.06,0.08,0.02,0.08
1511,Maxime Lopez,FRA,MF,Sassuolo,Serie A,25,2,2,140,1.6,0,0,0,0,0.00,0.00,0.00,0.11,0.11,0.00,0.11
1512,Pau López,ESP,GK,Marseille,Ligue 1,28,33,33,2939,32.7,0,0,0,0,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1513,Unai López,ESP,MF,Rayo Vallecano,La Liga,27,35,28,2108,23.4,1,2,3,1,0.04,0.09,0.05,0.11,0.16,0.05,0.16
1514,Dion Lopy,SEN,MF,Almería,La Liga,21,30,23,1916,21.3,0,0,0,0,0.00,0.00,0.06,0.05,0.11,0.06,0.11
1515,Anthony Losilla,FRA,MF,Bochum,Bundesliga,37,31,31,2576,28.6,1,2,3,1,0.03,0.07,0.08,0.05,0.13,0.08,0.13
1516,Jordan Lotomba,SUI,DF,Nice,Ligue 1,24,28,21,1804,20.0,1,0,1,1,0.05,0.00,0.04,0.05,0.10,0.04,0.10
1517,Tom Louchet,FRA,"MF,DF",Nice,Ligue 1,20,13,3,409,4.5,1,1,2,1,0.22,0.22,0.23,0.16,0.38,0.23,0.38
1518,Imran Louza,MAR,MF,Lorient,Ligue 1,24,14,10,863,9.6,1,3,4,1,0.10,0.31,0.11,0.27,0.37,0.11,0.37
1519,Matteo Lovato,ITA,DF,Torino,Serie A,23,13,6,544,6.0,0,0,0,0,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1520,Matteo Lovato,ITA,DF,Salernitana,Serie A,23,13,11,947,10.5,0,0,0,0,0.00,0.00,0.00,0.02,0.02,0.00,0.02
1521,Dejan Lovren,CRO,DF,Lyon,Ligue 1,34,10,8,718,8.0,0,0,0,0,0.00,0.00,0.06,0.00,0.06,0.06,0.06
1522,Sandi Lovrić,SVN,MF,Udinese,Serie A,25,29,21,1987,22.1,1,3,4,1,0.05,0.14,0.16,0.15,0.31,0.16,0.31
1523,Max Lowe,ENG,"DF,MF",Sheffield Utd,Premier League,26,10,4,503,5.6,0,0,0,0,0.00,0.00,0.10,0.13,0.23,0.10,0.23
1524,Anthony Lozano,HON,"MF,FW",Getafe,La Liga,30,6,0,92,1.0,0,0,0,0,0.00,0.00,0.18,0.25,0.43,0.18,0.43
1525,Anthony Lozano,HON,FW,Almería,La Liga,30,13,10,772,8.6,3,0,3,3,0.35,0.00,0.38,0.08,0.46,0.38,0.46
1526,Lucas,BRA,DF,Cádiz,La Liga,22,28,15,1539,17.1,1,0,1,1,0.06,0.00,0.05,0.11,0.16,0.05,0.16
1527,Lorenzo Lucca,ITA,FW,Udinese,Serie A,22,37,30,2592,28.8,8,4,12,8,0.28,0.14,0.27,0.06,0.33,0.27,0.33
1528,Jhon Lucumí,COL,DF,Bologna,Serie A,25,29,23,2217,24.6,0,0,0,0,0.00,0.00,0.03,0.01,0.04,0.03,0.04
1529,José Luis Gayà,ESP,DF,Valencia,La Liga,28,24,22,1791,19.9,1,2,3,1,0.05,0.10,0.02,0.13,0.15,0.02,0.15
1530,José Luis Morales,ESP,"FW,MF",Villarreal,La Liga,36,29,8,1048,11.6,7,0,7,7,0.60,0.00,0.48,0.05,0.52,0.48,0.52
1531,José Luis Palomino,ARG,DF,Atalanta,Serie A,33,4,0,27,0.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1532,Douglas Luiz,BRA,MF,Aston Villa,Premier League,25,35,35,2993,33.3,9,5,14,5,0.27,0.15,0.21,0.16,0.37,0.11,0.28
1533,Romelu Lukaku,BEL,FW,Roma,Serie A,30,32,30,2641,29.3,13,3,16,13,0.44,0.10,0.33,0.08,0.42,0.31,0.39
1534,Castello Lukeba,FRA,DF,RB Leipzig,Bundesliga,20,32,24,2191,24.3,1,0,1,1,0.04,0.00,0.03,0.01,0.04,0.03,0.04
1535,Dodi Lukebakio,BEL,"FW,MF",Sevilla,La Liga,25,23,12,1125,12.5,5,1,6,5,0.40,0.08,0.45,0.05,0.50,0.45,0.50
1536,Saša Lukić,SRB,MF,Fulham,Premier League,26,24,13,1122,12.5,1,0,1,1,0.08,0.00,0.13,0.06,0.19,0.13,0.19
1537,Karlo Lulić,CRO,MF,Frosinone,Serie A,27,1,0,19,0.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1538,Andriy Lunin,UKR,GK,Real Madrid,La Liga,24,21,21,1890,21.0,0,0,0,0,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1539,Sebastiano Luperto,ITA,DF,Empoli,Serie A,26,38,38,3406,37.8,1,1,2,1,0.03,0.03,0.04,0.03,0.07,0.04,0.07
1540,Mateus Lusuardi,BRA,DF,Frosinone,Serie A,19,4,3,219,2.4,0,0,0,0,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1541,Andreas Luthe,GER,GK,Bochum,Bundesliga,36,1,1,90,1.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1542,Zito Luvumbo,ANG,"FW,MF",Cagliari,Serie A,21,30,19,1946,21.6,4,5,9,4,0.18,0.23,0.18,0.14,0.33,0.18,0.33
1543,Charalambos Lykogiannis,GRE,DF,Bologna,Serie A,29,22,10,904,10.0,2,1,3,2,0.20,0.10,0.13,0.16,0.29,0.13,0.29
1544,Senne Lynen,BEL,MF,Werder Bremen,Bundesliga,24,32,20,1797,20.0,0,3,3,0,0.00,0.15,0.02,0.09,0.11,0.02,0.11
1545,Joshua M'Bahia,CIV,MF,Clermont Foot,Ligue 1,18,1,0,14,0.2,0,0,0,0,0.00,0.00,0.00,0.21,0.21,0.00,0.21
1546,Othmane Maamma,FRA,FW,Montpellier,Ligue 1,17,2,1,88,1.0,1,0,1,1,1.02,0.00,0.27,0.47,0.74,0.27,0.74
1547,Ian Maatsen,NED,"FW,MF",Chelsea,Premier League,21,12,1,209,2.3,0,0,0,0,0.00,0.00,0.35,0.04,0.39,0.35,0.39
1548,Ian Maatsen,NED,DF,Dortmund,Bundesliga,21,16,15,1264,14.0,2,2,4,2,0.14,0.14,0.07,0.10,0.17,0.07,0.17
1549,Alexis Mac Allister,ARG,MF,Liverpool,Premier League,24,33,31,2599,28.9,5,5,10,4,0.17,0.17,0.13,0.12,0.25,0.10,0.22
1550,Deiver Machado,COL,DF,Lens,Ligue 1,29,19,13,1124,12.5,4,0,4,4,0.32,0.00,0.13,0.10,0.24,0.13,0.24
1551,Darwin Machís,VEN,MF,Cádiz,La Liga,30,21,10,785,8.7,4,0,4,3,0.46,0.00,0.16,0.08,0.24,0.07,0.15
1552,James Maddison,ENG,MF,Tottenham,Premier League,26,28,26,2135,23.7,4,9,13,4,0.17,0.38,0.27,0.25,0.52,0.27,0.52
1553,Noni Madueke,ENG,FW,Chelsea,Premier League,21,23,13,1053,11.7,5,2,7,4,0.43,0.17,0.21,0.23,0.44,0.14,0.37
1554,Pablo Maffeo,ESP,DF,Mallorca,La Liga,26,22,17,1454,16.2,1,2,3,1,0.06,0.12,0.05,0.05,0.10,0.05,0.10
1555,Gabriel Magalhães,BRA,DF,Arsenal,Premier League,25,36,34,3044,33.8,4,0,4,4,0.12,0.00,0.13,0.02,0.15,0.13,0.15
1556,Soungoutou Magassa,FRA,"DF,MF",Monaco,Ligue 1,19,21,15,1346,15.0,0,0,0,0,0.00,0.00,0.04,0.01,0.05,0.04,0.05
1557,Giulio Maggiore,ITA,MF,Salernitana,Serie A,25,27,20,1800,20.0,4,2,6,4,0.20,0.10,0.11,0.06,0.17,0.11,0.17
1558,Matej Maglica,CRO,DF,Darmstadt 98,Bundesliga,24,26,21,1698,18.9,1,0,1,1,0.05,0.00,0.03,0.03,0.06,0.03,0.06
1559,Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,27,33,27,2444,27.2,0,0,0,0,0.00,0.00,0.02,0.01,0.03,0.02,0.03
1560,Hugo Magnetti,FRA,MF,Brest,Ligue 1,25,33,30,2340,26.0,2,0,2,2,0.08,0.00,0.09,0.07,0.16,0.09,0.16
1561,Yohann Magnin,FRA,MF,Clermont Foot,Ligue 1,26,31,17,1687,18.7,1,0,1,1,0.05,0.00,0.09,0.04,0.12,0.09,0.12
1562,Frank Magri,CMR,"FW,MF",Toulouse,Ligue 1,23,29,14,1438,16.0,5,2,7,5,0.31,0.13,0.19,0.10,0.29,0.19,0.29
1563,Harry Maguire,ENG,DF,Manchester Utd,Premier League,30,22,18,1653,18.4,2,2,4,2,0.11,0.11,0.11,0.07,0.18,0.11,0.18
1564,Jon Magunacelaya,ESP,"FW,MF",Real Sociedad,La Liga,23,5,1,121,1.3,0,0,0,0,0.00,0.00,0.21,0.34,0.55,0.21,0.55
1565,Adel Mahamoud,COM,FW,Nantes,Ligue 1,20,1,0,10,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1566,Arne Maier,GER,MF,Augsburg,Bundesliga,24,22,10,1003,11.1,2,4,6,2,0.18,0.36,0.14,0.21,0.35,0.14,0.35
1567,Habib Maïga,CIV,"MF,FW",Metz,Ligue 1,27,7,1,147,1.6,0,0,0,0,0.00,0.00,0.07,0.00,0.07,0.07,0.07
1568,Mike Maignan,FRA,GK,Milan,Serie A,28,29,29,2609,29.0,0,1,1,0,0.00,0.03,0.00,0.01,0.01,0.00,0.01
1569,Linton Maina,GER,"FW,MF",Köln,Bundesliga,24,31,21,1901,21.1,1,3,4,1,0.05,0.14,0.09,0.15,0.24,0.09,0.24
1570,Patrick Mainka,GER,DF,Heidenheim,Bundesliga,28,34,34,3060,34.0,2,0,2,2,0.06,0.00,0.09,0.00,0.09,0.09,0.09
1571,Kobbie Mainoo,ENG,MF,Manchester Utd,Premier League,18,24,24,1924,21.4,3,1,4,3,0.14,0.05,0.04,0.03,0.07,0.04,0.07
1572,Ainsley Maitland-Niles,ENG,"DF,MF",Lyon,Ligue 1,25,23,16,1432,15.9,1,4,5,0,0.06,0.25,0.19,0.13,0.32,0.14,0.27
1573,Radosław Majecki,POL,GK,Monaco,Ligue 1,23,12,12,1080,12.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1574,Lovro Majer,CRO,MF,Rennes,Ligue 1,25,1,0,16,0.2,0,0,0,0,0.00,0.00,0.14,1.39,1.52,0.14,1.52
1575,Lovro Majer,CRO,"MF,FW",Wolfsburg,Bundesliga,25,32,25,2106,23.4,5,5,10,3,0.21,0.21,0.23,0.14,0.37,0.16,0.30
1576,Jean-Victor Makengo,FRA,"MF,FW",Lorient,Ligue 1,25,11,5,479,5.3,0,0,0,0,0.00,0.00,0.05,0.00,0.05,0.05,0.05
1577,Jordy Makengo,FRA,DF,Freiburg,Bundesliga,21,20,10,1026,11.4,0,0,0,0,0.00,0.00,0.02,0.02,0.04,0.02,0.04
1578,Antoine Makoumbou,CGO,MF,Cagliari,Serie A,25,32,32,2702,30.0,1,0,1,1,0.03,0.00,0.02,0.03,0.05,0.02,0.05
1579,Nemanja Maksimović,SRB,MF,Getafe,La Liga,28,37,37,3265,36.3,4,0,4,4,0.11,0.00,0.15,0.03,0.18,0.15,0.18
1580,Julián Malatini,ARG,DF,Werder Bremen,Bundesliga,22,11,6,602,6.7,1,0,1,1,0.15,0.00,0.15,0.04,0.18,0.15,0.18
1581,Daniel Maldini,ITA,"MF,FW",Monza,Serie A,21,11,2,333,3.7,4,1,5,4,1.08,0.27,0.34,0.31,0.65,0.34,0.65
1582,Daniel Maldini,ITA,"FW,MF",Empoli,Serie A,21,7,3,263,2.9,0,0,0,0,0.00,0.00,0.10,0.01,0.12,0.10,0.12
1583,Youssef Maleh,MAR,MF,Empoli,Serie A,24,34,30,2602,28.9,0,1,1,0,0.00,0.03,0.05,0.08,0.14,0.05,0.14
1584,Donyell Malen,NED,"FW,MF",Dortmund,Bundesliga,24,27,21,1781,19.8,13,1,14,13,0.66,0.05,0.48,0.15,0.63,0.48,0.63
1585,Ruslan Malinovskyi,UKR,MF,Genoa,Serie A,30,28,18,1544,17.2,4,1,5,4,0.23,0.06,0.06,0.03,0.10,0.06,0.10
1586,Lennard Maloney,USA,MF,Heidenheim,Bundesliga,23,29,27,2284,25.4,1,1,2,1,0.04,0.04,0.03,0.04,0.07,0.03,0.07
1587,Aaron Malouda,FRA,FW,Lille,Ligue 1,17,1,0,1,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1588,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,37,37,3284,36.5,0,0,0,0,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1589,David Mamutovic,GER,"FW,DF",Mainz 05,Bundesliga,22,2,0,11,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1590,Wilson Manafá,POR,"DF,MF",Granada,La Liga,29,4,3,240,2.7,0,0,0,0,0.00,0.00,0.00,0.11,0.11,0.00,0.11
1591,Hianga Mananga Mbock,FRA,"MF,FW",Brest,Ligue 1,23,2,0,9,0.1,0,0,0,0,0.00,0.00,0.55,1.62,2.17,0.55,2.17
1592,Gianluca Mancini,ITA,DF,Roma,Serie A,27,36,34,2869,31.9,4,1,5,4,0.13,0.03,0.06,0.04,0.10,0.06,0.10
1593,Marco Mancosu,ITA,"MF,FW",Cagliari,Serie A,34,6,3,156,1.7,0,0,0,0,0.00,0.00,0.71,0.13,0.85,0.29,0.42
1594,Steve Mandanda,FRA,GK,Rennes,Ligue 1,38,34,34,3060,34.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1595,Christos Mandas,GRE,GK,Lazio,Serie A,21,9,8,721,8.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1596,Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,29,16,7,731,8.1,2,1,3,2,0.25,0.12,0.10,0.08,0.18,0.10,0.18
1597,Aïssa Mandi,ALG,DF,Villarreal,La Liga,31,16,12,1113,12.4,1,0,1,1,0.08,0.00,0.05,0.05,0.10,0.05,0.10
1598,Rolando Mandragora,ITA,MF,Fiorentina,Serie A,26,33,16,1588,17.6,3,3,6,3,0.17,0.17,0.20,0.09,0.29,0.20,0.29
1599,Orel Mangala,BEL,MF,Nott'ham Forest,Premier League,25,20,19,1563,17.4,1,0,1,1,0.06,0.00,0.05,0.01,0.06,0.05,0.06
1600,Orel Mangala,BEL,MF,Lyon,Ligue 1,25,8,4,398,4.4,2,0,2,2,0.45,0.00,0.22,0.15,0.37,0.22,0.37
1601,Vito Mannone,ITA,GK,Lille,Ligue 1,35,2,1,91,1.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
