,Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
424,425,Jens Cajuste,SWE,MF,Napoli,Serie A,23.0,26,11,1016,11.3,0,2,2,0,0.0,0.18,0.13,0.09,0.22,0.13,0.22,16,3,18.8,1.42,0.27,0.0,0.0,16.5,1.5,1.5,0.09,-1.5,-1.5,32.65,38.5,84.8,504.16,94.25,1.1,0.7,0.9,1.33,3.1,0.88,0.09,3.27,51.06194690265487,2.47787610619469,1.5044247787610618,60.7,25.04424778761062,133.27433628318585,64.42477876106194,1.6814159292035398,1.5929203539823007,0.1769911504424778,1.6814159292035398,0.8849557522123893,34.60176991150442,4.690265486725664,3.19,2.12,1.77,3.27,54.1,1.77,0.27,1.5,0.35,1.33,0.0
425,426,Davide Calabria,ITA,DF,Milan,Serie A,26.0,29,26,2185,24.3,1,3,4,1,0.04,0.12,0.05,0.05,0.1,0.05,0.1,21,8,38.1,0.86,0.33,0.05,0.13,18.3,1.3,1.3,0.06,-0.3,-0.3,54.32,63.42,85.7,917.08,267.04,1.2,1.6,1.8,0.49,4.28,0.95,0.49,5.76,73.4156378600823,0.823045267489712,0.2469135802469135,30.0,38.35390946502058,183.4567901234568,101.81069958847736,1.2757201646090537,1.2757201646090537,0.0823045267489712,0.7818930041152263,0.3703703703703703,46.70781893004115,2.716049382716049,2.88,1.56,1.81,2.96,61.1,1.07,0.29,0.78,0.99,2.02,0.04
426,427,Riccardo Calafiori,ITA,DF,Bologna,Serie A,21.0,30,26,2349,26.1,2,5,7,2,0.08,0.19,0.05,0.05,0.1,0.05,0.1,17,6,35.3,0.65,0.23,0.12,0.33,17.9,1.4,1.4,0.08,0.6,0.6,62.15,69.35,89.6,1094.44,331.8,1.2,0.9,3.8,0.65,3.6,0.38,0.11,3.68,80.53639846743295,0.8045977011494252,0.4980842911877394,61.9,49.46360153256705,278.81226053639847,154.17624521072796,1.0727969348659003,1.0727969348659003,0.0383141762452107,1.1877394636015326,0.4597701149425287,53.94636015325671,0.8812260536398467,1.8,1.23,0.84,1.23,68.8,1.46,0.5,0.96,1.92,2.84,0.11
428,429,Luca Caldirola,ITA,DF,Monza,Serie A,32.0,29,23,2141,23.8,1,1,2,1,0.04,0.04,0.02,0.03,0.04,0.02,0.04,9,2,22.2,0.38,0.08,0.11,0.5,10.8,0.5,0.5,0.05,0.5,0.5,52.39,57.73,90.8,999.75,327.86,0.6,0.2,0.4,0.21,2.52,0.04,0.04,2.35,64.95798319327731,0.0840336134453781,0.042016806722689,50.0,40.588235294117645,205.12605042016807,104.28571428571428,0.4201680672268907,0.2100840336134453,0.0,0.2521008403361344,0.042016806722689,48.15126050420168,0.3781512605042016,1.05,0.59,0.55,0.92,59.1,1.09,0.71,0.38,1.22,2.23,0.0
429,430,Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,26.0,24,22,1993,22.1,0,0,0,0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,7,1,14.3,0.32,0.05,0.0,0.0,10.1,0.5,0.5,0.08,-0.5,-0.5,47.56,54.48,87.3,906.43,326.38,1.0,1.1,-1.0,0.32,2.04,0.09,0.0,2.76,63.52941176470588,0.090497737556561,0.0452488687782805,50.0,45.97285067873303,223.8914027149321,106.69683257918552,0.2262443438914027,0.090497737556561,0.0,0.1357466063348416,0.0452488687782805,43.07692307692307,0.0452488687782805,1.18,0.5,0.81,1.0,81.8,1.22,0.63,0.59,0.81,4.25,0.05
430,431,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,29.0,32,32,2556,28.4,13,3,16,3,0.46,0.11,0.36,0.17,0.52,0.08,0.25,52,13,25.0,1.83,0.46,0.06,0.23,29.5,10.1,2.3,0.04,2.9,0.7,72.01,81.55,88.3,1315.92,395.81,4.7,5.8,-1.7,1.83,6.83,1.37,0.42,6.55,91.23239436619718,0.5281690140845071,0.2464788732394366,46.7,56.47887323943662,269.2253521126761,136.19718309859155,1.5845070422535212,2.288732394366197,0.0352112676056338,0.9507042253521129,0.2464788732394366,66.12676056338029,1.1971830985915493,2.32,1.16,1.13,1.73,65.3,1.02,0.46,0.56,0.85,0.77,0.0
431,432,José Callejón,ESP,"MF,FW",Granada,La Liga,36.0,25,7,803,8.9,0,1,1,0,0.0,0.11,0.15,0.17,0.32,0.15,0.32,12,4,33.3,1.34,0.45,0.0,0.0,14.5,1.3,1.3,0.11,-1.3,-1.3,32.13,41.35,77.7,574.27,168.2,1.5,1.4,-0.5,1.8,2.58,1.57,0.22,3.93,50.1123595505618,1.0112359550561798,0.3370786516853932,33.3,26.40449438202247,115.73033707865169,47.86516853932584,1.1235955056179774,1.1235955056179774,0.1123595505617977,1.1235955056179774,0.6741573033707865,31.91011235955056,5.617977528089887,1.46,0.67,0.9,2.47,36.4,0.79,0.11,0.67,0.56,1.12,0.0
432,433,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,26.0,32,26,2171,24.1,7,2,9,5,0.29,0.08,0.54,0.13,0.66,0.47,0.6,71,28,39.4,2.94,1.16,0.07,0.18,13.9,12.9,11.4,0.16,-5.9,-6.4,10.29,18.26,56.4,121.04,26.85,3.1,1.6,-1.1,0.79,0.54,0.5,0.0,1.29,30.622406639004147,1.784232365145228,0.5809128630705394,32.6,14.813278008298754,85.80912863070539,32.946058091286304,1.4937759336099583,0.871369294605809,0.9128630705394192,2.697095435684647,1.0373443983402488,23.443983402489625,5.062240663900415,0.54,0.25,0.08,0.62,13.3,0.58,0.17,0.41,0.17,1.58,0.0
433,434,Lamine Camara,SEN,MF,Metz,Ligue 1,19.0,31,26,2255,25.1,1,4,5,1,0.04,0.16,0.09,0.13,0.22,0.06,0.19,29,8,27.6,1.16,0.32,0.03,0.13,28.4,2.2,1.4,0.05,-1.2,-0.4,28.49,39.16,72.7,613.63,202.51,3.3,2.7,0.7,1.63,3.19,0.48,0.2,3.86,52.11155378486056,2.310756972111553,0.9163346613545816,39.7,34.42231075697211,235.73705179282868,92.23107569721115,0.9163346613545816,1.394422310756972,0.1195219123505976,2.231075697211155,1.1155378486055776,29.561752988047807,2.749003984063745,2.47,1.67,0.96,1.95,49.0,1.39,0.08,1.31,1.12,1.35,0.0
434,435,Mahdi Camara,FRA,MF,Brest,Ligue 1,25.0,32,26,2020,22.4,7,3,10,6,0.31,0.13,0.22,0.14,0.35,0.18,0.32,41,13,31.7,1.83,0.58,0.15,0.46,16.6,4.9,4.1,0.1,2.1,1.9,30.94,38.04,81.3,474.33,103.75,3.1,2.4,-0.1,1.43,2.81,0.8,0.45,3.62,49.82142857142858,1.9196428571428568,0.7589285714285715,39.5,34.55357142857143,188.8392857142857,78.39285714285715,1.6517857142857144,1.7410714285714286,0.3125,1.7410714285714286,1.0267857142857144,32.23214285714286,5.758928571428572,2.46,1.74,0.89,2.19,40.8,1.07,0.04,1.03,1.21,0.85,0.0
435,436,Mohamed Camara,MLI,MF,Monaco,Ligue 1,23.0,20,14,1035,11.5,1,2,3,0,0.09,0.17,0.13,0.06,0.18,0.06,0.11,13,3,23.1,1.13,0.26,0.0,0.0,26.0,1.5,0.7,0.05,-0.5,-0.7,61.48,66.87,91.9,1064.0,286.52,0.6,0.9,1.4,1.22,6.87,0.78,0.09,6.61,77.21739130434783,1.9130434782608696,0.782608695652174,40.9,63.04347826086956,305.7391304347826,125.30434782608695,1.2173913043478262,2.1739130434782608,0.0,1.3043478260869563,1.3043478260869563,59.65217391304348,1.9130434782608696,3.04,1.83,1.3,2.52,51.7,0.7,0.17,0.52,0.96,0.61,0.0
437,438,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,20.0,31,21,1817,20.2,0,2,2,0,0.0,0.1,0.05,0.07,0.11,0.05,0.11,17,7,41.2,0.84,0.35,0.0,0.0,22.7,0.9,0.9,0.05,-0.9,-0.9,59.65,65.74,90.7,964.01,240.4,1.4,1.8,0.6,0.99,4.95,0.69,0.15,5.25,79.45544554455446,3.415841584158416,1.7821782178217822,52.2,50.04950495049505,287.029702970297,154.9009900990099,2.4257425742574257,2.7722772277227725,0.2475247524752475,1.2871287128712872,1.188118811881188,59.20792079207921,1.534653465346535,3.76,2.33,1.14,1.93,59.0,1.78,0.4,1.39,1.44,1.44,0.05
438,439,Nicolò Cambiaghi,ITA,"FW,MF",Empoli,Serie A,22.0,37,29,2553,28.4,1,1,2,1,0.04,0.04,0.14,0.1,0.24,0.14,0.24,71,17,23.9,2.5,0.6,0.01,0.06,19.8,3.9,3.9,0.05,-2.9,-2.9,17.01,24.44,69.6,269.01,54.93,2.8,2.7,-1.8,1.09,0.77,0.88,0.53,2.22,35.563380281690144,3.028169014084507,1.0211267605633805,33.7,24.823943661971832,218.4154929577465,100.6338028169014,4.507042253521127,1.795774647887324,1.6901408450704227,2.0774647887323945,1.267605633802817,26.19718309859155,6.93661971830986,1.8,1.37,0.56,1.23,45.7,0.92,0.04,0.88,0.49,0.28,0.0
439,440,Andrea Cambiaso,ITA,"DF,FW",Juventus,Serie A,23.0,34,28,2372,26.4,2,3,5,2,0.08,0.11,0.08,0.15,0.23,0.08,0.23,29,8,27.6,1.1,0.3,0.07,0.25,18.6,2.2,2.2,0.08,-0.2,-0.2,38.14,45.72,83.4,612.61,133.56,3.9,3.8,-0.9,1.44,1.52,0.91,0.42,2.69,54.88636363636364,2.310606060606061,0.9848484848484848,42.6,32.46212121212121,205.0378787878788,107.27272727272728,3.2954545454545454,2.007575757575758,0.8712121212121212,1.4393939393939394,0.7954545454545455,37.61363636363637,6.515151515151516,1.78,1.14,0.95,1.63,58.1,1.06,0.11,0.95,0.42,0.98,0.04
441,442,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,22.0,31,20,1661,18.5,3,1,4,3,0.16,0.05,0.24,0.07,0.31,0.24,0.31,33,13,39.4,1.79,0.7,0.09,0.23,15.6,4.5,4.5,0.14,-1.5,-1.5,14.76,20.54,71.8,197.73,45.35,1.3,1.3,-0.3,1.08,1.19,0.65,0.0,2.22,31.35135135135135,2.6486486486486487,0.8648648648648649,32.7,17.675675675675677,87.1891891891892,34.432432432432435,1.1891891891891893,1.0810810810810811,0.5405405405405406,2.864864864864865,1.4054054054054057,22.75675675675676,4.27027027027027,0.86,0.27,0.32,0.81,40.0,0.54,0.11,0.43,0.16,0.81,0.0
443,444,Emre Can,GER,"MF,DF",Dortmund,Bundesliga,29.0,25,22,1953,21.7,2,2,4,0,0.09,0.09,0.1,0.07,0.17,0.03,0.09,15,1,6.7,0.69,0.05,0.0,0.0,27.4,2.2,0.6,0.04,-0.2,-0.6,59.26,67.79,87.4,1047.88,337.14,1.5,1.3,0.5,0.92,5.07,0.37,0.0,5.07,78.4331797235023,1.336405529953917,0.6912442396313364,51.7,44.654377880184335,244.6082949308756,108.89400921658986,1.6129032258064515,0.7373271889400922,0.1382488479262673,1.336405529953917,0.967741935483871,54.055299539170505,0.8294930875576038,2.9,2.07,1.29,2.21,58.3,1.38,0.32,1.06,1.01,1.89,0.09
444,445,Matteo Cancellieri,ITA,"FW,MF",Empoli,Serie A,21.0,36,18,1788,19.9,4,3,7,4,0.2,0.15,0.24,0.15,0.38,0.24,0.38,40,12,30.0,2.01,0.6,0.1,0.33,16.6,4.7,4.7,0.12,-0.7,-0.7,11.16,19.05,58.6,163.07,39.65,2.9,2.1,0.1,0.85,0.65,0.45,0.15,1.31,33.81909547738694,5.025125628140704,1.8592964824120604,37.0,21.4070351758794,159.1959798994975,69.39698492462313,2.412060301507538,1.809045226130653,1.407035175879397,2.814070351758794,1.7587939698492463,23.41708542713568,6.934673366834171,1.76,1.11,0.65,1.81,36.1,0.95,0.0,0.95,0.3,0.9,0.0
445,446,João Cancelo,POR,DF,Barcelona,La Liga,29.0,32,29,2503,27.8,2,4,6,2,0.07,0.14,0.06,0.22,0.28,0.06,0.28,32,9,28.1,1.15,0.32,0.06,0.22,21.3,1.6,1.6,0.05,0.4,0.4,55.14,66.62,82.8,883.17,237.01,6.1,6.7,-2.1,1.26,4.42,1.33,0.4,5.07,79.35251798561151,3.992805755395684,2.194244604316547,55.0,44.96402877697842,263.2014388489209,140.86330935251797,3.8129496402877696,2.0863309352517985,1.4028776978417266,1.9784172661870505,0.8992805755395683,52.84172661870503,6.942446043165467,2.3,1.58,1.37,2.09,65.5,1.26,0.22,1.04,1.04,2.12,0.04
446,447,Fali Candé,GNB,DF,Metz,Ligue 1,25.0,25,20,1849,20.5,0,1,1,0,0.0,0.05,0.04,0.02,0.06,0.04,0.06,13,7,53.8,0.63,0.34,0.0,0.0,21.4,0.8,0.8,0.06,-0.8,-0.8,30.63,38.98,78.6,700.05,252.83,0.5,0.2,0.5,0.29,1.85,0.1,0.0,1.85,50.53658536585366,0.5365853658536586,0.3414634146341463,63.6,32.53658536585366,177.5609756097561,78.97560975609755,0.1951219512195122,0.5853658536585366,0.048780487804878,0.4390243902439024,0.0975609756097561,28.92682926829268,0.1463414634146341,1.95,0.93,0.98,1.71,57.1,2.0,1.37,0.63,0.98,5.22,0.05
447,448,Antonio Candreva,ITA,"MF,FW",Salernitana,Serie A,36.0,34,32,2750,30.6,6,6,12,5,0.2,0.2,0.16,0.16,0.32,0.13,0.3,64,20,31.3,2.09,0.65,0.08,0.25,21.2,4.9,4.1,0.06,1.1,0.9,33.3,45.98,72.4,585.49,195.88,5.0,4.1,1.0,1.96,3.59,1.83,0.69,4.87,52.647058823529406,1.30718954248366,0.4901960784313725,37.5,30.71895424836601,162.15686274509804,69.50980392156862,2.1895424836601305,1.568627450980392,0.5882352941176471,1.0130718954248366,0.5882352941176471,38.13725490196078,5.947712418300653,0.59,0.42,0.29,0.82,36.0,0.29,0.0,0.29,0.23,0.75,0.0
449,450,Sergi Canós,ESP,"MF,FW",Valencia,La Liga,26.0,27,15,1229,13.7,1,2,3,1,0.07,0.15,0.21,0.18,0.39,0.21,0.39,43,17,39.5,3.15,1.24,0.02,0.06,21.4,2.8,2.8,0.07,-1.8,-1.8,18.98,29.56,64.2,293.07,103.72,2.4,2.1,-0.4,0.88,2.12,1.24,0.29,3.8,42.55474452554745,2.7737226277372264,1.3138686131386863,47.4,23.35766423357664,123.13868613138686,61.24087591240876,2.3357664233576645,0.9489051094890512,0.8029197080291971,2.18978102189781,0.8759124087591241,27.956204379562045,6.423357664233577,1.68,0.95,0.73,1.75,41.7,1.02,0.15,0.88,0.8,0.66,0.0
452,453,Étienne Capoue,FRA,MF,Villarreal,La Liga,35.0,32,15,1455,16.2,1,1,2,1,0.06,0.06,0.06,0.04,0.1,0.06,0.1,14,5,35.7,0.87,0.31,0.07,0.2,15.0,1.0,1.0,0.07,0.0,0.0,43.15,50.19,86.0,710.25,193.52,0.6,1.0,0.4,0.56,4.51,0.68,0.06,4.94,62.96296296296297,2.7777777777777777,1.3580246913580247,48.9,35.370370370370374,168.95061728395063,77.03703703703704,1.4814814814814816,1.6666666666666667,0.308641975308642,1.9753086419753088,1.234567901234568,46.11111111111112,2.345679012345679,1.98,1.11,0.93,1.36,68.2,1.23,0.25,0.99,1.36,1.48,0.06
455,456,Francesco Caputo,ITA,FW,Empoli,Serie A,35.0,20,15,1268,14.1,3,0,3,2,0.21,0.0,0.24,0.05,0.3,0.19,0.24,22,9,40.9,1.56,0.64,0.09,0.22,11.7,3.4,2.6,0.12,-0.4,-0.6,11.63,15.32,75.9,151.77,28.09,0.7,0.8,-0.7,0.71,0.64,0.21,0.0,1.28,20.56737588652482,0.7092198581560284,0.3546099290780142,50.0,12.411347517730496,46.52482269503546,14.46808510638298,0.4964539007092198,0.425531914893617,0.2836879432624113,1.4893617021276595,0.851063829787234,15.673758865248228,4.609929078014185,0.14,0.0,0.0,0.07,0.0,0.28,0.0,0.28,0.07,0.21,0.0
456,457,Maxence Caqueret,FRA,MF,Lyon,Ligue 1,23.0,34,34,3022,33.6,1,3,4,1,0.03,0.09,0.06,0.18,0.24,0.06,0.24,24,9,37.5,0.71,0.27,0.04,0.11,20.9,2.1,2.1,0.09,-1.1,-1.1,49.43,59.79,82.7,814.76,304.55,6.0,7.2,-3.0,1.7,6.1,1.85,0.21,8.51,70.14880952380952,2.5297619047619047,1.5476190476190474,61.2,53.75,284.8511904761905,127.05357142857142,2.083333333333333,1.875,0.3571428571428571,1.636904761904762,1.3392857142857142,48.86904761904762,2.857142857142857,2.71,1.9,1.13,3.18,35.5,1.19,0.27,0.92,1.43,0.77,0.06
457,458,Andrea Carboni,ITA,DF,Monza,Serie A,22.0,21,16,1487,16.5,1,0,1,1,0.06,0.0,0.07,0.03,0.1,0.07,0.1,18,4,22.2,1.09,0.24,0.06,0.25,15.4,1.2,1.2,0.07,-0.2,-0.2,50.48,59.15,85.3,890.79,297.52,0.5,0.4,-0.5,0.55,3.58,0.3,0.24,2.79,69.57575757575758,0.3636363636363636,0.1818181818181818,50.0,42.30303030303031,193.93939393939397,112.48484848484848,0.7878787878787878,0.7878787878787878,0.1212121212121212,0.8484848484848485,0.1212121212121212,49.15151515151515,1.3333333333333333,2.3,1.33,1.21,1.88,64.5,1.39,0.79,0.61,1.03,3.39,0.06
458,459,Valentin Carboni,ARG,"MF,FW",Monza,Serie A,18.0,31,10,1169,13.0,2,3,5,2,0.15,0.23,0.18,0.13,0.31,0.18,0.31,23,7,30.4,1.77,0.54,0.09,0.29,18.3,2.3,2.3,0.1,-0.3,-0.3,33.54,40.23,83.4,535.54,114.38,1.7,1.4,1.3,1.77,2.31,0.62,0.08,4.38,52.0,3.769230769230769,1.8461538461538465,49.0,35.76923076923077,260.38461538461536,121.3076923076923,4.0,2.5384615384615383,1.3846153846153846,2.3076923076923075,1.1538461538461535,38.46153846153846,5.769230769230769,1.92,1.15,0.62,2.0,30.8,0.92,0.08,0.85,0.54,0.31,0.0
459,460,Isaac Carcelen,ESP,DF,Cádiz,La Liga,30.0,35,29,2611,29.0,0,0,0,0,0.0,0.0,0.02,0.03,0.06,0.02,0.06,10,3,30.0,0.34,0.1,0.0,0.0,20.2,0.6,0.6,0.06,-0.6,-0.6,29.34,40.1,73.2,488.31,177.86,1.0,1.3,-1.0,0.59,1.86,0.55,0.31,2.59,49.13793103448276,0.7586206896551724,0.4482758620689655,59.1,19.41379310344828,88.27586206896552,43.10344827586207,0.8620689655172413,1.0,0.0344827586206896,0.6551724137931034,0.6551724137931034,23.13793103448276,2.413793103448276,1.72,1.07,0.86,1.55,55.6,0.83,0.24,0.59,0.93,3.0,0.07
462,463,Marc Cardona,ESP,FW,Las Palmas,La Liga,28.0,25,6,723,8.0,4,1,5,3,0.5,0.12,0.52,0.13,0.65,0.42,0.55,21,10,47.6,2.61,1.24,0.14,0.3,14.3,4.2,3.5,0.16,-0.2,-0.5,21.25,28.38,74.9,246.5,35.0,1.1,0.6,-0.1,1.0,1.12,0.75,0.12,1.62,41.625,4.25,1.75,41.2,26.875,122.875,48.5,1.25,0.5,0.5,3.0,1.875,31.875,9.25,1.12,1.0,0.12,1.5,8.3,0.62,0.0,0.62,0.25,0.88,0.0
463,464,Sergi Cardona,ESP,DF,Las Palmas,La Liga,24.0,35,30,2814,31.3,1,2,3,1,0.03,0.06,0.09,0.09,0.18,0.09,0.18,26,5,19.2,0.83,0.16,0.04,0.2,13.9,2.7,2.7,0.1,-1.7,-1.7,55.18,68.69,80.3,803.42,313.8,2.8,3.7,-0.8,1.25,3.45,1.25,0.48,5.11,82.61980830670926,1.182108626198083,0.5431309904153354,45.9,38.30670926517572,184.2811501597444,101.0223642172524,1.9169329073482428,1.5654952076677315,0.1916932907348242,1.5015974440894568,0.7028753993610224,47.85942492012779,5.271565495207668,2.88,1.76,1.76,3.07,57.3,1.44,0.22,1.21,1.47,3.26,0.0
464,465,Johnny Cardoso,USA,MF,Betis,La Liga,21.0,17,15,1328,14.8,1,2,3,1,0.07,0.14,0.07,0.03,0.11,0.07,0.11,12,3,25.0,0.81,0.2,0.08,0.33,18.3,1.1,1.1,0.09,-0.1,-0.1,36.42,43.24,84.2,568.65,147.09,0.5,1.0,1.5,0.54,2.77,0.54,0.07,3.04,56.08108108108108,1.351351351351351,0.7432432432432432,55.0,27.43243243243243,133.3108108108108,61.08108108108108,0.6756756756756757,0.6756756756756757,0.0,1.081081081081081,1.0135135135135134,32.2972972972973,0.7432432432432432,3.24,1.96,1.49,2.23,66.7,1.35,0.34,1.01,2.16,2.09,0.0
466,467,Diego Carlos,BRA,DF,Aston Villa,Premier League,30.0,27,20,1816,20.2,0,0,0,0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,10,1,10.0,0.5,0.05,0.0,0.0,9.1,1.9,1.9,0.19,-1.9,-1.9,58.61,66.34,88.4,1154.11,461.14,0.1,0.4,-0.1,0.15,3.56,0.2,0.0,2.92,75.0990099009901,0.198019801980198,0.099009900990099,50.0,50.14851485148515,236.93069306930693,129.00990099009903,0.198019801980198,0.099009900990099,0.0495049504950495,0.396039603960396,0.198019801980198,55.34653465346535,0.0495049504950495,1.34,0.79,0.64,1.04,61.9,1.19,0.94,0.25,0.64,3.86,0.15
467,468,Carmona,ESP,"DF,MF",Getafe,La Liga,21.0,30,15,1313,14.6,1,1,2,1,0.07,0.07,0.06,0.07,0.12,0.06,0.12,12,3,25.0,0.82,0.21,0.08,0.33,16.8,0.8,0.8,0.07,0.2,0.2,28.7,39.04,73.5,465.96,154.66,1.0,1.4,0.0,0.68,1.99,0.82,0.34,2.67,51.23287671232877,1.9178082191780823,0.6164383561643836,32.1,23.493150684931507,136.57534246575344,69.31506849315069,1.9863013698630136,1.3013698630136987,0.4109589041095891,1.9863013698630136,0.9589041095890412,25.82191780821918,3.767123287671233,2.05,1.44,0.62,1.92,32.1,1.03,0.14,0.89,1.44,1.71,0.0
471,472,Rasmus Carstensen,DEN,"DF,FW",Köln,Bundesliga,22.0,23,18,1659,18.4,0,0,0,0,0.0,0.0,0.05,0.14,0.19,0.05,0.19,10,4,40.0,0.54,0.22,0.0,0.0,15.1,0.9,0.9,0.09,-0.9,-0.9,32.28,44.95,71.8,485.16,186.36,2.6,3.3,-2.6,0.87,1.47,1.09,0.49,2.83,58.2608695652174,1.6304347826086958,0.7065217391304348,43.3,27.8804347826087,161.73913043478262,74.78260869565219,1.7391304347826089,1.4130434782608696,0.1630434782608695,2.010869565217392,1.1956521739130437,30.869565217391308,4.836956521739131,2.55,1.2,1.68,3.04,55.4,2.07,0.49,1.58,1.09,2.72,0.11
473,474,Dani Carvajal,ESP,DF,Real Madrid,La Liga,31.0,28,25,2171,24.1,4,3,7,4,0.17,0.12,0.07,0.11,0.18,0.07,0.18,18,10,55.6,0.75,0.41,0.22,0.4,14.3,1.7,1.7,0.1,2.3,2.3,52.49,61.2,85.8,828.01,188.17,2.7,3.1,0.3,0.87,2.16,1.08,0.21,3.4,70.4149377593361,0.9128630705394192,0.3734439834024896,40.9,38.96265560165975,160.33195020746888,78.96265560165975,1.2448132780082988,1.5352697095435683,0.3734439834024896,0.9128630705394192,0.7468879668049793,46.72199170124481,6.970954356846472,1.95,1.33,0.95,1.74,54.8,1.16,0.37,0.79,0.91,2.24,0.17
475,476,William Carvalho,POR,MF,Betis,La Liga,31.0,22,4,680,7.6,1,3,4,1,0.13,0.4,0.05,0.09,0.14,0.05,0.14,8,3,37.5,1.06,0.4,0.13,0.33,24.0,0.4,0.4,0.05,0.6,0.6,73.68,83.42,88.3,1114.34,334.21,0.7,0.7,2.3,1.32,8.82,1.05,0.0,7.63,93.02631578947368,1.7105263157894737,0.5263157894736842,30.8,57.5,221.44736842105263,113.15789473684212,1.5789473684210529,1.842105263157895,0.0,0.7894736842105263,1.3157894736842106,73.6842105263158,1.5789473684210529,2.63,1.58,1.32,2.11,62.5,1.05,0.13,0.92,1.05,1.18,0.13
478,479,Nicolò Casale,ITA,DF,Lazio,Serie A,25.0,20,16,1559,17.3,0,0,0,0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,7,1,14.3,0.4,0.06,0.0,0.0,16.4,0.9,0.9,0.12,-0.9,-0.9,54.34,59.19,91.8,1000.29,339.88,0.0,0.2,0.0,0.12,3.82,0.06,0.0,2.83,66.76300578034682,0.2312138728323699,0.1156069364161849,50.0,37.34104046242774,219.5375722543353,127.7456647398844,1.1560693641618496,0.5202312138728323,0.0578034682080924,0.1156069364161849,0.0578034682080924,46.70520231213872,0.2312138728323699,0.87,0.52,0.35,0.87,40.0,1.1,0.92,0.17,0.69,3.53,0.0
479,480,Casemiro,BRA,"MF,DF",Manchester Utd,Premier League,31.0,25,24,1982,22.0,1,2,3,1,0.05,0.09,0.16,0.05,0.2,0.16,0.2,39,9,23.1,1.77,0.41,0.03,0.11,17.1,3.5,3.5,0.09,-2.5,-2.5,52.95,64.77,81.8,915.27,348.95,1.0,1.2,1.0,0.73,5.64,0.82,0.14,5.09,80.0909090909091,0.8181818181818182,0.4090909090909091,50.0,44.72727272727273,162.54545454545453,78.5909090909091,0.5454545454545454,1.0,0.0454545454545454,0.6818181818181818,0.7727272727272727,52.86363636363637,1.6363636363636365,3.77,2.55,2.32,4.82,48.1,3.36,1.5,1.86,0.82,3.23,0.05
481,482,Matty Cash,POL,DF,Aston Villa,Premier League,25.0,29,23,2142,23.8,2,2,4,2,0.08,0.08,0.18,0.1,0.27,0.18,0.27,33,13,39.4,1.39,0.55,0.06,0.15,16.2,4.2,4.2,0.13,-2.2,-2.2,41.39,51.47,80.4,676.22,205.38,2.3,2.5,-0.3,0.55,2.9,0.8,0.34,3.7,62.85714285714285,1.722689075630252,0.5042016806722689,29.3,36.134453781512605,204.6638655462185,93.82352941176472,2.6050420168067228,1.722689075630252,0.7563025210084033,0.8823529411764706,0.6302521008403361,37.60504201680672,4.243697478991597,2.27,1.3,1.22,2.48,49.2,1.47,0.59,0.88,0.76,2.48,0.0
482,483,Josué Casimir,FRA,"FW,DF",Le Havre,Ligue 1,21.0,30,25,2016,22.4,0,5,5,0,0.0,0.22,0.09,0.19,0.28,0.09,0.28,22,4,18.2,0.98,0.18,0.0,0.0,18.3,1.9,1.9,0.09,-1.9,-1.9,25.54,34.87,73.2,393.48,119.29,4.3,3.0,0.7,1.38,1.52,0.85,0.22,2.77,45.625,2.857142857142857,1.0267857142857144,35.9,30.133928571428573,212.1875,83.48214285714286,2.633928571428572,1.5625,0.9821428571428572,1.9196428571428568,1.1160714285714286,27.589285714285715,6.160714285714287,1.38,0.8,0.31,0.8,38.9,1.03,0.09,0.94,0.58,1.12,0.0
