,Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
408,409,Reece Burke,ENG,DF,Luton Town,Premier League,26.0,22,20,1660,18.4,0,4,4,0,0.0,0.22,0.07,0.07,0.15,0.07,0.15,13,3,23.1,0.7,0.16,0.0,0.0,14.3,1.3,1.3,0.12,-1.3,-1.3,29.73,39.08,76.1,565.0,226.58,1.4,0.9,2.6,0.71,3.15,0.49,0.16,3.64,50.48913043478261,0.4347826086956522,0.2173913043478261,50.0,24.72826086956522,113.04347826086958,65.76086956521739,0.5978260869565218,0.4347826086956522,0.0,0.9782608695652176,0.2717391304347826,27.608695652173918,0.7608695652173914,2.01,1.25,0.65,1.41,46.2,1.36,0.98,0.38,0.98,4.24,0.05
409,410,Dan Burn,ENG,DF,Newcastle Utd,Premier League,31.0,33,32,2726,30.3,2,2,4,2,0.07,0.07,0.1,0.04,0.14,0.1,0.14,23,5,21.7,0.76,0.17,0.09,0.4,8.1,3.1,3.1,0.14,-1.1,-1.1,44.59,55.02,81.0,739.34,271.85,1.1,1.1,0.9,0.33,2.21,0.23,0.1,2.48,66.23762376237623,0.198019801980198,0.132013201320132,66.7,30.495049504950494,129.7029702970297,54.917491749174914,0.462046204620462,0.231023102310231,0.099009900990099,0.495049504950495,0.33003300330033,37.95379537953795,0.8250825082508251,2.01,1.09,0.86,2.01,42.6,1.82,0.83,0.99,1.22,4.09,0.03
415,416,Aurélio Buta,POR,"DF,MF",Eint Frankfurt,Bundesliga,26.0,30,20,1744,19.4,1,1,2,1,0.05,0.05,0.02,0.04,0.06,0.02,0.06,13,4,30.8,0.67,0.21,0.08,0.25,21.3,0.5,0.5,0.04,0.5,0.5,45.1,57.32,78.7,664.33,224.54,0.7,1.7,0.3,0.46,3.66,1.34,0.31,4.64,67.01030927835052,1.6494845360824744,0.5670103092783506,34.4,33.1958762886598,154.69072164948454,74.84536082474227,2.6288659793814437,1.4948453608247425,0.8762886597938145,1.1340206185567012,1.0309278350515465,39.79381443298969,5.360824742268042,2.06,1.29,1.08,1.96,55.3,1.24,0.26,0.98,0.77,1.86,0.0
417,418,Jamie Bynoe-Gittens,ENG,"FW,MF",Dortmund,Bundesliga,18.0,25,14,1058,11.8,1,4,5,1,0.09,0.34,0.19,0.24,0.43,0.19,0.43,43,11,25.6,3.66,0.94,0.02,0.09,19.3,2.2,2.2,0.05,-1.2,-1.2,24.07,30.76,78.2,311.95,62.03,2.8,3.0,1.2,1.53,1.19,1.27,0.17,2.2,48.644067796610166,8.389830508474576,3.644067796610169,43.4,33.813559322033896,288.8135593220339,141.44067796610167,5.423728813559322,4.23728813559322,3.389830508474576,2.966101694915254,2.6271186440677963,36.77966101694915,8.898305084745763,1.19,0.59,0.17,1.44,11.8,0.93,0.17,0.76,0.34,0.59,0.0
418,419,Rémy Cabella,FRA,"FW,MF",Lille,Ligue 1,33.0,30,14,1477,16.4,2,2,4,2,0.12,0.12,0.32,0.2,0.52,0.32,0.52,33,14,42.4,2.01,0.85,0.06,0.14,15.5,5.2,5.2,0.16,-3.2,-3.2,44.63,55.37,80.6,642.32,185.67,3.3,3.6,-1.3,1.95,4.09,1.46,0.0,6.46,67.7439024390244,2.9268292682926838,1.2804878048780488,43.8,50.91463414634147,318.9024390243903,145.91463414634148,4.390243902439025,3.1707317073170733,1.3414634146341464,1.707317073170732,0.9756097560975612,47.6829268292683,9.756097560975611,3.29,2.2,1.22,3.29,37.0,1.95,0.0,1.95,0.3,0.3,0.0
419,420,Jovane Cabral,CPV,"MF,FW",Salernitana,Serie A,25.0,12,8,678,7.5,1,0,1,1,0.13,0.0,0.15,0.06,0.21,0.15,0.21,25,9,36.0,3.32,1.19,0.04,0.11,20.2,1.2,1.2,0.05,-0.2,-0.2,24.67,32.67,75.5,428.8,135.33,0.4,0.6,-0.4,1.33,2.93,1.6,0.4,5.33,46.13333333333333,4.8,2.8,58.3,30.53333333333333,209.2,97.46666666666668,2.933333333333333,1.3333333333333333,0.9333333333333332,3.066666666666667,1.8666666666666667,33.46666666666667,5.2,1.73,1.2,0.4,1.2,33.3,0.4,0.0,0.4,0.13,0.53,0.0
420,421,Liberato Cacace,NZL,DF,Empoli,Serie A,22.0,31,18,1912,21.2,0,1,1,0,0.0,0.05,0.02,0.08,0.1,0.02,0.1,13,2,15.4,0.61,0.09,0.0,0.0,24.6,0.4,0.4,0.03,-0.4,-0.4,39.25,52.36,75.0,664.34,263.63,1.7,1.4,-0.7,0.99,3.16,0.61,0.24,3.96,63.25471698113208,2.5,1.0849056603773586,43.4,32.54716981132076,185.61320754716985,99.4811320754717,1.6037735849056605,1.3679245283018868,0.1886792452830188,1.0849056603773586,0.9433962264150944,33.160377358490564,2.5943396226415096,1.89,1.13,1.13,1.79,63.2,1.08,0.28,0.8,0.9,2.64,0.0
421,422,Anthony Caci,FRA,DF,Mainz 05,Bundesliga,26.0,31,29,2486,27.6,2,3,5,2,0.07,0.11,0.06,0.1,0.16,0.06,0.16,31,5,16.1,1.12,0.18,0.06,0.4,18.2,1.5,1.5,0.05,0.5,0.5,40.51,55.18,73.4,785.11,338.8,2.9,3.5,0.1,0.91,4.46,1.41,0.51,5.22,64.89130434782608,1.4130434782608694,0.8333333333333333,59.0,30.32608695652174,140.90579710144928,76.63043478260869,1.5579710144927534,0.7246376811594203,0.3623188405797101,0.8333333333333333,0.3623188405797101,35.869565217391305,2.717391304347826,2.03,0.83,0.98,1.59,61.4,1.56,0.25,1.3,1.16,1.63,0.0
422,423,Moisés Caicedo,ECU,MF,Chelsea,Premier League,21.0,35,33,2866,31.8,1,3,4,1,0.03,0.09,0.01,0.08,0.09,0.01,0.09,13,4,30.8,0.41,0.13,0.08,0.25,29.0,0.4,0.4,0.03,0.6,0.6,59.97,66.64,90.0,933.84,257.26,2.6,2.0,0.4,0.72,5.53,0.63,0.0,5.44,77.10691823899371,1.7610062893081762,0.8176100628930817,46.4,43.333333333333336,172.86163522012578,77.54716981132076,0.8490566037735849,0.9748427672955976,0.0314465408805031,1.1320754716981132,0.7547169811320754,57.48427672955975,0.8490566037735849,2.86,1.45,1.13,1.89,60.0,1.86,0.79,1.07,1.16,1.38,0.13
423,424,Tom Cairney,SCO,MF,Fulham,Premier League,32.0,34,14,1488,16.5,1,4,5,1,0.06,0.24,0.07,0.14,0.2,0.07,0.2,17,8,47.1,1.03,0.48,0.06,0.13,21.2,1.1,1.1,0.06,-0.1,-0.1,68.24,77.09,88.5,1058.36,230.12,2.3,2.5,1.7,1.58,5.09,1.52,0.24,8.79,84.72727272727273,2.0,1.5757575757575757,78.8,56.42424242424242,272.8484848484849,137.03030303030303,2.121212121212121,2.5454545454545454,0.3636363636363636,1.7575757575757576,1.4545454545454546,68.36363636363636,4.363636363636363,1.45,0.97,0.79,1.52,52.0,0.97,0.24,0.73,0.79,0.36,0.0
