Rk,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,2,0,0.0,0.15,0.00,0.00,,23.9,0.0,0.0,0.02,0.0,0.0
2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,2.0,2.0,0.11,0.0,0.0
3,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0.1,0.1,0.06,-0.1,-0.1
4,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
5,21,7,33.3,0.68,0.23,0.14,0.43,15.0,3.4,2.6,0.13,+0.6,+0.4
6,5,0,0.0,0.30,0.00,0.00,,21.6,0.8,0.8,0.17,-0.8,-0.8
7,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
8,26,11,42.3,0.82,0.35,0.08,0.18,26.5,1.1,1.1,0.04,+0.9,+0.9
9,42,19,45.2,3.62,1.64,0.12,0.26,17.4,3.8,3.8,0.09,+1.2,+1.2
10,4,0,0.0,0.26,0.00,0.00,,15.4,0.1,0.1,0.03,-0.1,-0.1
11,27,7,25.9,3.22,0.84,0.07,0.29,18.7,2.8,2.0,0.07,+0.2,0.0
12,10,3,30.0,0.39,0.12,0.00,0.00,12.1,0.5,0.5,0.05,-0.5,-0.5
13,4,2,50.0,1.49,0.74,0.25,0.50,11.9,0.6,0.6,0.15,+0.4,+0.4
14,15,6,40.0,0.57,0.23,0.20,0.50,12.0,1.6,1.6,0.11,+1.4,+1.4
15,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
16,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0.3,0.3,0.03,+0.7,+0.7
17,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0.3,0.3,0.27,-0.3,-0.3
18,7,4,57.1,1.25,0.71,0.00,0.00,18.7,0.7,0.7,0.10,-0.7,-0.7
19,79,32,40.5,3.16,1.28,0.10,0.25,14.5,12.4,12.4,0.16,-4.4,-4.4
20,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
21,2,1,50.0,1.71,0.86,0.00,0.00,12.1,0.1,0.1,0.03,-0.1,-0.1
22,31,13,41.9,3.48,1.46,0.03,0.08,12.4,4.1,4.1,0.13,-3.1,-3.1
23,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0.7,0.7,0.05,+1.3,+1.3
24,31,14,45.2,1.97,0.89,0.32,0.71,9.6,5.9,5.9,0.19,+4.1,+4.1
25,23,10,43.5,2.27,0.99,0.13,0.30,14.6,3.5,3.5,0.15,-0.5,-0.5
26,52,22,42.3,2.11,0.89,0.12,0.27,15.9,4.3,4.3,0.08,+1.7,+1.7
27,4,0,0.0,0.29,0.00,0.00,,8.3,0.4,0.4,0.09,-0.4,-0.4
28,27,15,55.6,2.71,1.50,0.15,0.27,13.7,3.3,3.3,0.12,+0.7,+0.7
29,4,1,25.0,0.26,0.06,0.25,1.00,19.8,0.3,0.3,0.07,+0.7,+0.7
30,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
31,5,0,0.0,1.89,0.00,0.00,,17.9,0.2,0.2,0.05,-0.2,-0.2
32,18,5,27.8,0.73,0.20,0.00,0.00,22.4,1.1,1.1,0.06,-1.1,-1.1
33,32,5,15.6,1.11,0.17,0.03,0.20,15.1,2.4,2.4,0.07,-1.4,-1.4
34,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
35,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
36,6,2,33.3,0.69,0.23,0.00,0.00,13.2,0.9,0.9,0.14,-0.9,-0.9
37,11,0,0.0,0.61,0.00,0.00,,19.5,0.9,0.9,0.08,-0.9,-0.9
38,14,3,21.4,0.68,0.15,0.07,0.33,10.8,1.5,1.5,0.11,-0.5,-0.5
39,12,4,33.3,0.56,0.19,0.08,0.25,16.1,1.4,1.4,0.12,-0.4,-0.4
40,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
41,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0.5,0.5,0.05,-0.5,-0.5
42,19,5,26.3,0.65,0.17,0.11,0.40,11.9,3.1,3.1,0.17,-1.1,-1.1
43,3,0,0.0,0.66,0.00,0.00,,15.8,0.1,0.1,0.03,-0.1,-0.1
44,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0.3,0.3,0.02,+0.7,+0.7
45,24,8,33.3,0.93,0.31,0.08,0.25,16.8,3.3,3.3,0.14,-1.3,-1.3
46,11,3,27.3,1.10,0.30,0.18,0.67,22.7,1.8,1.8,0.17,+0.2,+0.2
47,12,4,33.3,0.59,0.20,0.17,0.50,9.9,1.3,1.3,0.11,+0.7,+0.7
48,27,6,22.2,1.79,0.40,0.07,0.33,13.1,5.3,3.7,0.14,-3.3,-1.7
49,15,5,33.3,0.54,0.18,0.13,0.40,17.0,1.9,1.9,0.13,+0.1,+0.1
50,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
51,20,5,25.0,0.88,0.22,0.10,0.40,10.8,2.5,2.5,0.12,-0.5,-0.5
52,30,7,23.3,1.79,0.42,0.07,0.29,18.1,3.2,3.2,0.11,-1.2,-1.2
53,9,5,55.6,0.48,0.27,0.22,0.40,17.4,1.2,1.2,0.13,+0.8,+0.8
54,11,2,18.2,1.21,0.22,0.18,1.00,18.3,1.4,1.4,0.13,+0.6,+0.6
55,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
56,36,22,61.1,2.01,1.23,0.19,0.32,15.7,5.4,5.4,0.15,+1.6,+1.6
57,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
58,2,0,0.0,0.59,0.00,0.00,,15.7,0.1,0.1,0.03,-0.1,-0.1
59,7,3,42.9,0.89,0.38,0.00,0.00,26.6,0.5,0.5,0.08,-0.5,-0.5
60,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
61,2,0,0.0,0.16,0.00,0.00,,6.8,0.3,0.3,0.15,-0.3,-0.3
62,14,3,21.4,1.09,0.23,0.00,0.00,19.8,1.0,1.0,0.07,-1.0,-1.0
63,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4.7,4.7,0.08,+0.3,+0.3
64,6,1,16.7,0.27,0.04,0.00,0.00,9.5,0.4,0.4,0.07,-0.4,-0.4
65,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
66,11,2,18.2,2.61,0.47,0.00,0.00,24.0,0.4,0.4,0.03,-0.4,-0.4
67,46,10,21.7,1.32,0.29,0.02,0.10,24.9,3.3,1.7,0.04,-0.3,-0.7
68,24,5,20.8,0.98,0.21,0.00,0.00,19.7,1.2,1.2,0.05,-1.2,-1.2
69,11,2,18.2,0.59,0.11,0.00,0.00,21.9,0.5,0.5,0.04,-0.5,-0.5
70,16,5,31.3,1.41,0.44,0.06,0.20,18.8,1.2,1.2,0.08,-0.2,-0.2
71,47,8,17.0,1.96,0.33,0.06,0.38,24.4,2.6,2.3,0.05,+0.4,+0.7
72,4,2,50.0,2.77,1.38,0.00,0.00,19.4,0.2,0.2,0.06,-0.2,-0.2
73,3,0,0.0,1.08,0.00,0.00,,17.4,0.4,0.4,0.13,-0.4,-0.4
74,18,6,33.3,1.88,0.63,0.06,0.17,21.1,1.1,1.1,0.06,-0.1,-0.1
75,33,11,33.3,2.32,0.77,0.12,0.36,14.5,3.0,3.0,0.09,+1.0,+1.0
76,28,9,32.1,2.50,0.80,0.14,0.44,19.0,2.4,2.4,0.09,+1.6,+1.6
77,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
78,8,2,25.0,2.14,0.54,0.13,0.50,17.4,1.2,1.2,0.16,-0.2,-0.2
79,37,11,29.7,1.79,0.53,0.05,0.18,14.8,2.6,2.6,0.07,-0.6,-0.6
80,10,4,40.0,0.93,0.37,0.20,0.50,19.3,0.6,0.6,0.06,+1.4,+1.4
81,41,12,29.3,1.91,0.56,0.07,0.25,16.1,4.5,4.5,0.11,-1.5,-1.5
82,40,15,37.5,1.71,0.64,0.05,0.13,19.7,2.3,2.3,0.06,-0.3,-0.3
83,3,2,66.7,1.07,0.71,0.00,0.00,20.8,0.1,0.1,0.03,-0.1,-0.1
84,1,0,0.0,0.12,0.00,0.00,,27.2,0.0,0.0,0.03,0.0,0.0
85,7,2,28.6,1.11,0.32,0.14,0.50,22.3,0.2,0.2,0.03,+0.8,+0.8
86,17,3,17.6,0.64,0.11,0.06,0.33,21.1,1.3,1.3,0.08,-0.3,-0.3
87,14,3,21.4,0.50,0.11,0.14,0.67,16.5,0.7,0.7,0.05,+1.3,+1.3
88,12,4,33.3,1.42,0.47,0.08,0.25,13.9,1.0,1.0,0.09,0.0,0.0
89,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13.0,11.5,0.12,-2.0,-2.5
90,7,2,28.6,0.55,0.16,0.00,0.00,14.2,0.3,0.3,0.04,-0.3,-0.3
91,9,3,33.3,1.90,0.63,0.11,0.33,22.9,0.4,0.4,0.05,+0.6,+0.6
92,5,3,60.0,3.66,2.20,0.20,0.33,15.1,0.3,0.3,0.07,+0.7,+0.7
93,13,5,38.5,1.32,0.51,0.15,0.40,14.7,2.6,2.6,0.20,-0.6,-0.6
94,11,4,36.4,1.64,0.60,0.00,0.00,21.9,0.4,0.4,0.04,-0.4,-0.4
95,12,2,16.7,2.74,0.46,0.00,0.00,14.1,1.6,1.6,0.13,-1.6,-1.6
96,1,0,0.0,4.09,0.00,0.00,,29.5,0.0,0.0,0.01,0.0,0.0
97,1,1,100.0,0.99,0.99,1.00,1.00,26.9,0.1,0.1,0.10,+0.9,+0.9
98,48,21,43.8,2.21,0.97,0.08,0.19,17.8,5.8,5.0,0.10,-0.8,-1.0
99,1,0,0.0,0.11,0.00,0.00,,22.8,0.1,0.1,0.05,-0.1,-0.1
100,5,3,60.0,0.78,0.47,0.00,0.00,9.3,0.3,0.3,0.06,-0.3,-0.3
101,6,4,66.7,0.54,0.36,0.50,0.75,16.8,0.8,0.8,0.14,+2.2,+2.2
102,35,8,22.9,2.40,0.55,0.03,0.13,26.8,2.2,1.4,0.04,-1.2,-0.4
103,3,2,66.7,3.14,2.09,0.00,0.00,21.7,0.1,0.1,0.04,-0.1,-0.1
104,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
105,3,0,0.0,0.29,0.00,0.00,,26.1,0.1,0.1,0.02,-0.1,-0.1
106,21,8,38.1,0.55,0.21,0.10,0.25,12.8,1.7,1.7,0.08,+0.3,+0.3
107,19,4,21.1,1.67,0.35,0.00,0.00,14.5,1.5,1.5,0.08,-1.5,-1.5
108,43,11,25.6,1.40,0.36,0.12,0.45,17.3,4.4,4.4,0.10,+0.6,+0.6
109,23,9,39.1,0.81,0.32,0.17,0.44,17.0,2.6,2.6,0.11,+1.4,+1.4
110,2,0,0.0,1.07,0.00,0.00,,19.1,0.1,0.1,0.03,-0.1,-0.1
111,23,9,39.1,1.22,0.48,0.17,0.44,20.0,1.7,1.7,0.07,+2.3,+2.3
112,9,2,22.2,0.52,0.12,0.11,0.50,10.4,0.8,0.8,0.09,+0.2,+0.2
113,8,2,25.0,0.63,0.16,0.00,0.00,24.1,0.2,0.2,0.02,-0.2,-0.2
114,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
115,2,1,50.0,1.18,0.59,0.00,0.00,24.5,0.1,0.1,0.03,-0.1,-0.1
116,28,6,21.4,0.87,0.19,0.00,0.00,15.9,1.7,1.7,0.06,-1.7,-1.7
117,30,14,46.7,1.59,0.74,0.20,0.43,13.1,5.8,5.8,0.19,+0.2,+0.2
118,43,15,34.9,2.92,1.02,0.02,0.07,18.9,3.4,3.4,0.08,-2.4,-2.4
119,29,9,31.0,2.15,0.67,0.07,0.22,18.2,2.2,2.2,0.08,-0.2,-0.2
120,12,7,58.3,1.43,0.83,0.33,0.57,13.3,2.3,2.3,0.19,+1.7,+1.7
121,4,0,0.0,4.29,0.00,0.00,,23.3,0.4,0.4,0.11,-0.4,-0.4
122,9,2,22.2,2.39,0.53,0.00,0.00,21.7,0.5,0.5,0.06,-0.5,-0.5
123,4,0,0.0,0.66,0.00,0.00,,23.2,0.1,0.1,0.04,-0.1,-0.1
124,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
125,7,2,28.6,0.43,0.12,0.14,0.50,20.5,0.7,0.7,0.10,+0.3,+0.3
126,23,9,39.1,1.04,0.41,0.04,0.11,12.4,2.1,2.1,0.09,-1.1,-1.1
127,1,1,100.0,0.10,0.10,0.00,0.00,16.6,0.0,0.0,0.04,0.0,0.0
128,42,9,21.4,2.06,0.44,0.10,0.44,16.7,5.5,5.5,0.14,-1.5,-1.5
129,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
130,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
131,4,0,0.0,1.36,0.00,0.00,,21.2,0.1,0.1,0.03,-0.1,-0.1
132,9,2,22.2,0.30,0.07,0.11,0.50,27.1,0.2,0.2,0.02,+0.8,+0.8
133,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
134,12,4,33.3,2.93,0.98,0.00,0.00,18.1,1.2,1.2,0.10,-1.2,-1.2
135,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
136,2,0,0.0,0.77,0.00,0.00,,28.1,0.0,0.0,0.02,0.0,0.0
137,29,9,31.0,2.81,0.87,0.07,0.22,22.7,1.7,1.7,0.06,+0.3,+0.3
138,12,6,50.0,0.84,0.42,0.17,0.33,18.2,0.8,0.8,0.06,+1.2,+1.2
139,17,9,52.9,1.91,1.01,0.29,0.56,11.5,5.0,5.0,0.29,0.0,0.0
140,32,12,37.5,1.15,0.43,0.06,0.17,27.8,1.0,1.0,0.03,+1.0,+1.0
141,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
142,60,22,36.7,2.64,0.97,0.15,0.41,16.8,8.6,8.6,0.15,+0.4,+0.4
143,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
144,2,1,50.0,0.98,0.49,0.00,0.00,21.2,0.1,0.1,0.04,-0.1,-0.1
145,65,23,35.4,2.95,1.04,0.09,0.26,14.9,7.9,7.9,0.12,-1.9,-1.9
146,27,10,37.0,2.18,0.81,0.15,0.40,19.2,3.2,3.2,0.12,+0.8,+0.8
147,15,4,26.7,1.72,0.46,0.07,0.25,27.1,0.6,0.6,0.04,+0.4,+0.4
148,6,3,50.0,0.64,0.32,0.33,0.67,15.4,0.6,0.6,0.10,+1.4,+1.4
149,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
150,74,23,31.1,2.46,0.76,0.08,0.26,20.0,11.5,7.5,0.10,-2.5,-1.5
151,9,4,44.4,0.66,0.29,0.11,0.25,22.1,0.4,0.4,0.04,+0.6,+0.6
152,11,4,36.4,0.98,0.36,0.09,0.25,22.9,0.4,0.4,0.04,+0.6,+0.6
153,4,1,25.0,1.00,0.25,0.25,1.00,22.6,0.1,0.1,0.03,+0.9,+0.9
154,9,2,22.2,1.46,0.32,0.00,0.00,19.9,0.5,0.5,0.05,-0.5,-0.5
155,9,4,44.4,0.88,0.39,0.11,0.25,16.2,0.6,0.6,0.06,+0.4,+0.4
156,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
157,112,47,42.0,3.84,1.61,0.12,0.28,15.8,20.5,17.3,0.16,-3.5,-4.3
158,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
159,10,3,30.0,0.37,0.11,0.10,0.33,24.1,0.5,0.5,0.05,+0.5,+0.5
160,22,6,27.3,1.15,0.31,0.00,0.00,17.1,1.0,1.0,0.05,-1.0,-1.0
161,12,4,33.3,1.19,0.40,0.17,0.50,12.7,0.9,0.9,0.07,+1.1,+1.1
162,6,1,16.7,0.65,0.11,0.00,0.00,16.0,0.2,0.2,0.03,-0.2,-0.2
163,27,6,22.2,2.81,0.62,0.04,0.17,21.2,2.0,2.0,0.08,-1.0,-1.0
164,9,3,33.3,2.72,0.91,0.11,0.33,21.9,0.7,0.7,0.08,+0.3,+0.3
165,22,11,50.0,1.90,0.95,0.27,0.55,11.5,4.7,4.7,0.22,+1.3,+1.3
166,32,12,37.5,2.61,0.98,0.16,0.42,15.1,3.1,3.1,0.10,+1.9,+1.9
167,48,19,39.6,1.70,0.67,0.08,0.21,18.2,3.9,3.9,0.08,+0.1,+0.1
168,22,8,36.4,1.26,0.46,0.05,0.13,16.0,2.4,2.4,0.11,-1.4,-1.4
169,16,7,43.8,2.46,1.08,0.19,0.43,13.1,2.9,2.9,0.20,+0.1,+0.1
170,2,2,100.0,0.13,0.13,0.00,0.00,20.3,0.6,0.6,0.32,-0.6,-0.6
171,21,2,9.5,1.99,0.19,0.00,0.00,20.0,1.2,1.2,0.06,-1.2,-1.2
172,2,2,100.0,0.33,0.33,1.00,1.00,9.5,0.5,0.5,0.24,+1.5,+1.5
173,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
174,8,2,25.0,0.50,0.13,0.00,0.00,25.6,0.7,0.7,0.09,-0.7,-0.7
175,1,0,0.0,1.00,0.00,0.00,,11.6,0.0,0.0,0.04,0.0,0.0
176,8,4,50.0,1.93,0.97,0.13,0.25,18.7,0.6,0.6,0.07,+0.4,+0.4
177,3,2,66.7,3.91,2.61,0.00,0.00,19.3,0.1,0.1,0.05,-0.1,-0.1
178,14,3,21.4,0.55,0.12,0.00,0.00,12.7,0.9,0.9,0.06,-0.9,-0.9
179,21,4,19.0,0.75,0.14,0.05,0.25,19.1,1.4,1.4,0.07,-0.4,-0.4
180,17,1,5.9,0.85,0.05,0.06,1.00,22.3,0.7,0.7,0.04,+0.3,+0.3
181,6,1,16.7,0.40,0.07,0.00,0.00,14.1,0.3,0.3,0.05,-0.3,-0.3
182,72,25,34.7,2.51,0.87,0.03,0.08,20.8,7.9,7.1,0.10,-5.9,-5.1
183,9,2,22.2,1.62,0.36,0.11,0.50,23.5,0.5,0.5,0.05,+0.5,+0.5
184,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
185,53,18,34.0,2.31,0.78,0.19,0.56,16.1,6.3,6.3,0.12,+3.7,+3.7
186,2,0,0.0,0.21,0.00,0.00,,9.7,0.2,0.2,0.11,-0.2,-0.2
187,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
188,32,9,28.1,2.20,0.62,0.06,0.22,21.8,2.5,2.5,0.08,-0.5,-0.5
189,4,1,25.0,1.86,0.46,0.00,0.00,15.8,0.4,0.4,0.11,-0.4,-0.4
190,12,7,58.3,0.82,0.48,0.17,0.29,15.8,1.7,1.7,0.15,+0.3,+0.3
191,5,1,20.0,1.18,0.24,0.20,1.00,14.8,0.2,0.2,0.04,+0.8,+0.8
192,27,9,33.3,1.21,0.40,0.04,0.11,15.9,1.8,1.8,0.07,-0.8,-0.8
193,44,12,27.3,1.82,0.50,0.07,0.25,19.6,3.2,3.2,0.07,-0.2,-0.2
194,14,6,42.9,1.69,0.72,0.14,0.33,20.0,2.1,2.1,0.15,-0.1,-0.1
195,15,3,20.0,2.61,0.52,0.00,0.00,18.0,0.9,0.9,0.06,-0.9,-0.9
196,5,1,20.0,0.33,0.07,0.00,0.00,21.2,0.1,0.1,0.03,-0.1,-0.1
197,1,0,0.0,0.09,0.00,0.00,,22.2,0.0,0.0,0.02,0.0,0.0
198,21,5,23.8,1.43,0.34,0.00,0.00,24.4,0.8,0.8,0.04,-0.8,-0.8
199,2,1,50.0,2.95,1.48,0.00,0.00,30.4,0.0,0.0,0.02,0.0,0.0
200,14,4,28.6,0.55,0.16,0.14,0.50,17.4,0.9,0.9,0.06,+1.1,+1.1
201,11,4,36.4,0.34,0.13,0.00,0.00,18.9,0.7,0.7,0.06,-0.7,-0.7
202,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
203,63,26,41.3,3.35,1.38,0.11,0.27,14.0,11.0,8.5,0.14,-4.0,-1.5
204,41,14,34.1,1.86,0.64,0.07,0.21,19.2,3.0,3.0,0.07,0.0,0.0
205,37,17,45.9,2.93,1.34,0.19,0.41,12.1,6.4,5.6,0.16,+1.6,+1.4
206,2,0,0.0,3.83,0.00,0.00,,12.6,0.3,0.3,0.13,-0.3,-0.3
207,50,23,46.0,3.33,1.53,0.04,0.09,19.8,3.6,3.6,0.07,-1.6,-1.6
208,3,0,0.0,0.61,0.00,0.00,,28.5,0.1,0.1,0.02,-0.1,-0.1
209,3,0,0.0,2.67,0.00,0.00,,16.1,0.1,0.1,0.04,-0.1,-0.1
210,9,5,55.6,0.35,0.20,0.22,0.40,9.1,1.2,1.2,0.14,+0.8,+0.8
211,48,18,37.5,2.35,0.88,0.13,0.33,16.7,5.3,5.3,0.11,+0.7,+0.7
212,2,2,100.0,0.79,0.79,0.50,0.50,6.6,0.9,0.9,0.45,+0.1,+0.1
213,20,8,40.0,2.23,0.89,0.10,0.25,16.9,1.5,1.5,0.08,+0.5,+0.5
214,4,2,50.0,1.17,0.59,0.00,0.00,24.2,0.2,0.2,0.05,-0.2,-0.2
215,2,0,0.0,0.67,0.00,0.00,,18.1,0.1,0.1,0.04,-0.1,-0.1
216,31,11,35.5,2.04,0.72,0.13,0.36,13.8,4.5,4.5,0.15,-0.5,-0.5
217,15,5,33.3,0.51,0.17,0.07,0.20,24.6,0.5,0.5,0.04,+0.5,+0.5
218,40,12,30.0,1.26,0.38,0.05,0.17,18.2,5.1,5.1,0.13,-3.1,-3.1
219,4,2,50.0,1.19,0.59,0.00,0.00,14.1,0.2,0.2,0.06,-0.2,-0.2
220,66,19,28.8,2.27,0.65,0.08,0.26,21.5,4.1,4.1,0.06,+0.9,+0.9
221,11,6,54.5,3.08,1.68,0.09,0.17,17.2,1.7,0.9,0.08,-0.7,+0.1
222,27,12,44.4,3.03,1.35,0.19,0.42,16.0,3.6,3.6,0.13,+1.4,+1.4
223,38,13,34.2,1.31,0.45,0.11,0.31,16.4,4.5,4.5,0.12,-0.5,-0.5
224,20,3,15.0,0.64,0.10,0.00,0.00,22.8,0.6,0.6,0.03,-0.6,-0.6
225,37,12,32.4,2.33,0.76,0.11,0.33,17.7,3.5,3.5,0.10,+0.5,+0.5
226,17,7,41.2,0.98,0.41,0.00,0.00,21.8,0.9,0.9,0.05,-0.9,-0.9
227,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
228,3,0,0.0,1.20,0.00,0.00,,11.6,0.2,0.2,0.07,-0.2,-0.2
229,17,6,35.3,0.46,0.16,0.00,0.00,10.8,1.7,1.5,0.09,-1.7,-1.5
230,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
231,2,0,0.0,0.56,0.00,0.00,,10.8,0.1,0.1,0.06,-0.1,-0.1
232,12,1,8.3,0.93,0.08,0.00,0.00,27.0,0.6,0.6,0.05,-0.6,-0.6
233,5,1,20.0,0.20,0.04,0.20,1.00,10.1,0.3,0.3,0.07,+0.7,+0.7
234,15,6,40.0,0.60,0.24,0.07,0.17,13.3,1.2,1.2,0.08,-0.2,-0.2
235,7,1,14.3,0.85,0.12,0.14,1.00,21.9,0.4,0.4,0.06,+0.6,+0.6
236,1,0,0.0,0.06,0.00,0.00,,13.5,0.0,0.0,0.02,0.0,0.0
237,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
238,4,1,25.0,0.44,0.11,0.25,1.00,5.2,1.4,1.4,0.34,-0.4,-0.4
239,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
240,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
241,31,11,35.5,2.41,0.85,0.16,0.45,14.7,3.7,3.7,0.12,+1.3,+1.3
242,15,4,26.7,6.37,1.70,0.07,0.25,30.2,1.4,0.7,0.04,+0.6,+0.3
243,38,14,36.8,2.09,0.77,0.18,0.50,17.1,4.9,4.9,0.13,+2.1,+2.1
244,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
245,12,3,25.0,1.11,0.28,0.08,0.33,13.5,1.7,1.7,0.15,-0.7,-0.7
246,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
247,21,9,42.9,2.45,1.05,0.10,0.22,17.1,1.4,1.4,0.07,+0.6,+0.6
248,16,4,25.0,2.23,0.56,0.00,0.00,20.5,0.8,0.8,0.05,-0.8,-0.8
249,3,1,33.3,1.86,0.62,0.33,1.00,16.9,0.2,0.2,0.07,+0.8,+0.8
250,1,0,0.0,30.00,0.00,0.00,,16.1,0.0,0.0,0.04,0.0,0.0
251,1,0,0.0,0.25,0.00,0.00,,11.3,0.1,0.1,0.09,-0.1,-0.1
252,8,4,50.0,2.40,1.20,0.00,0.00,17.2,0.4,0.4,0.05,-0.4,-0.4
253,11,6,54.5,1.61,0.88,0.09,0.17,11.6,1.6,1.6,0.15,-0.6,-0.6
254,41,13,31.7,2.92,0.93,0.10,0.31,10.8,6.0,6.0,0.15,-2.0,-2.0
255,82,39,47.6,3.05,1.45,0.20,0.41,15.4,11.4,11.4,0.14,+4.6,+4.6
256,6,2,33.3,2.66,0.89,0.00,0.00,22.6,0.2,0.2,0.04,-0.2,-0.2
257,1,1,100.0,1.00,1.00,0.00,0.00,26.6,0.0,0.0,0.03,0.0,0.0
258,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
259,2,2,100.0,0.10,0.10,0.00,0.00,18.8,0.3,0.3,0.13,-0.3,-0.3
260,4,2,50.0,0.54,0.27,0.00,0.00,16.2,0.2,0.2,0.05,-0.2,-0.2
261,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
262,32,3,9.4,0.95,0.09,0.03,0.33,16.6,2.0,2.0,0.06,-1.0,-1.0
263,15,5,33.3,1.41,0.47,0.13,0.40,16.5,1.6,1.6,0.10,+0.4,+0.4
264,5,3,60.0,1.67,1.00,0.40,0.67,22.5,0.6,0.6,0.11,+1.4,+1.4
265,2,0,0.0,0.11,0.00,0.00,,18.7,0.2,0.2,0.08,-0.2,-0.2
266,62,34,54.8,2.41,1.32,0.29,0.53,14.8,11.1,10.3,0.17,+7.9,+7.7
267,3,0,0.0,0.19,0.00,0.00,,11.3,0.5,0.5,0.17,-0.5,-0.5
268,33,9,27.3,3.13,0.85,0.09,0.33,13.9,3.7,3.7,0.11,-0.7,-0.7
269,15,8,53.3,1.99,1.06,0.20,0.38,13.9,2.4,2.4,0.16,+0.6,+0.6
270,21,3,14.3,0.78,0.11,0.00,0.00,25.8,0.7,0.7,0.03,-0.7,-0.7
271,30,7,23.3,1.60,0.37,0.17,0.71,15.5,3.8,3.0,0.10,+2.2,+2.0
272,14,4,28.6,2.94,0.84,0.14,0.50,19.8,0.8,0.8,0.06,+1.2,+1.2
273,8,3,37.5,1.72,0.64,0.00,0.00,18.2,0.8,0.8,0.10,-0.8,-0.8
274,63,29,46.0,2.45,1.13,0.24,0.52,11.5,12.4,11.6,0.18,+3.6,+3.4
275,14,7,50.0,1.11,0.55,0.21,0.43,19.8,1.0,1.0,0.07,+2.0,+2.0
276,11,1,9.1,0.86,0.08,0.09,1.00,21.6,1.7,0.9,0.08,+0.3,+0.1
277,18,5,27.8,2.61,0.73,0.00,0.00,19.8,1.8,1.0,0.06,-1.8,-1.0
278,25,9,36.0,2.92,1.05,0.12,0.33,21.5,1.6,1.6,0.06,+1.4,+1.4
279,16,0,0.0,1.39,0.00,0.00,,17.1,1.7,1.7,0.11,-1.7,-1.7
280,10,2,20.0,0.46,0.09,0.00,0.00,29.3,0.4,0.4,0.04,-0.4,-0.4
281,18,4,22.2,1.61,0.36,0.06,0.25,16.3,1.9,1.9,0.11,-0.9,-0.9
282,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
283,5,2,40.0,0.45,0.18,0.20,0.50,10.8,1.0,1.0,0.20,0.0,0.0
