Rk,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG
2464,21,3,14.3,1.15,0.16,0.00,0.00,17.9,1.8,1.8,0.09,-1.8,-1.8
2465,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2466,1,1,100.0,0.83,0.83,1.00,1.00,12.1,0.1,0.1,0.08,+0.9,+0.9
2467,28,7,25.0,2.00,0.50,0.00,0.00,17.6,1.6,1.6,0.06,-1.6,-1.6
2468,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2469,106,35,33.0,2.87,0.95,0.16,0.49,12.2,19.6,17.2,0.16,-0.6,-0.2
2470,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2471,14,5,35.7,1.16,0.41,0.14,0.40,15.0,1.5,1.5,0.11,+0.5,+0.5
2472,9,2,22.2,2.11,0.47,0.00,0.00,17.3,1.0,1.0,0.12,-1.0,-1.0
2473,7,1,14.3,3.17,0.45,0.00,0.00,16.8,0.4,0.4,0.06,-0.4,-0.4
2474,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2475,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2476,1,0,0.0,0.51,0.00,0.00,,25.1,0.0,0.0,0.01,0.0,0.0
2477,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2478,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2479,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2480,1,0,0.0,1.96,0.00,0.00,,24.2,0.0,0.0,0.03,0.0,0.0
2481,8,1,12.5,1.00,0.12,0.00,0.00,23.2,0.3,0.3,0.04,-0.3,-0.3
2482,65,18,27.7,2.25,0.62,0.05,0.17,15.5,9.1,5.9,0.09,-2.1,-2.9
2483,34,13,38.2,2.77,1.06,0.06,0.15,17.0,2.6,2.6,0.08,-0.6,-0.6
2484,43,15,34.9,1.35,0.47,0.16,0.47,11.0,6.7,6.7,0.16,+0.3,+0.3
2485,77,18,23.4,2.22,0.52,0.08,0.33,22.2,10.5,5.7,0.07,+0.5,+0.3
2486,1,0,0.0,0.04,0.00,0.00,,19.6,0.0,0.0,0.02,0.0,0.0
2487,5,1,20.0,1.90,0.38,0.00,0.00,22.8,0.4,0.4,0.08,-0.4,-0.4
2488,14,6,42.9,0.47,0.20,0.07,0.17,21.5,0.6,0.6,0.05,+0.4,+0.4
2489,18,5,27.8,1.11,0.31,0.06,0.20,17.7,1.5,1.5,0.08,-0.5,-0.5
2490,3,2,66.7,0.38,0.25,0.00,0.00,8.2,0.3,0.3,0.11,-0.3,-0.3
2491,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2492,2,0,0.0,0.21,0.00,0.00,,11.9,0.2,0.2,0.09,-0.2,-0.2
2493,11,1,9.1,0.65,0.06,0.00,0.00,21.0,0.4,0.4,0.04,-0.4,-0.4
2494,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2495,8,3,37.5,0.55,0.21,0.13,0.33,23.6,0.2,0.2,0.03,+0.8,+0.8
2496,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2497,38,9,23.7,1.47,0.35,0.05,0.22,24.1,1.7,1.7,0.04,+0.3,+0.3
2498,2,1,50.0,1.06,0.53,0.00,0.00,12.8,0.2,0.2,0.09,-0.2,-0.2
2499,40,11,27.5,1.55,0.43,0.08,0.27,15.8,4.4,4.4,0.11,-1.4,-1.4
2500,2,0,0.0,0.63,0.00,0.00,,25.0,0.1,0.1,0.04,-0.1,-0.1
2501,10,5,50.0,0.71,0.36,0.30,0.60,16.4,0.8,0.8,0.08,+2.2,+2.2
2502,12,5,41.7,0.49,0.20,0.08,0.20,8.5,1.4,1.4,0.12,-0.4,-0.4
2503,4,2,50.0,0.33,0.17,0.50,1.00,13.1,0.2,0.2,0.05,+1.8,+1.8
2504,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2505,14,4,28.6,1.18,0.34,0.00,0.00,28.2,0.3,0.3,0.02,-0.3,-0.3
2506,3,1,33.3,0.45,0.15,0.33,1.00,23.3,0.4,0.4,0.12,+0.6,+0.6
2507,51,21,41.2,2.32,0.96,0.16,0.38,14.5,6.5,6.5,0.13,+1.5,+1.5
2508,2,1,50.0,1.80,0.90,0.00,0.00,22.7,0.1,0.1,0.04,-0.1,-0.1
2509,2,1,50.0,2.14,1.07,0.00,0.00,21.7,0.1,0.1,0.04,-0.1,-0.1
2510,16,3,18.8,0.53,0.10,0.06,0.33,22.0,1.6,1.6,0.10,-0.6,-0.6
2511,71,14,19.7,2.40,0.47,0.04,0.21,25.7,6.2,3.1,0.04,+0.8,-0.1
2512,4,1,25.0,2.34,0.58,0.00,0.00,20.5,0.2,0.2,0.05,-0.2,-0.2
2513,4,2,50.0,0.34,0.17,0.25,0.50,15.9,1.0,1.0,0.26,0.0,0.0
2514,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2515,82,35,42.7,2.58,1.10,0.16,0.37,11.2,14.5,14.5,0.18,-1.5,-1.5
2516,27,5,18.5,2.19,0.40,0.00,0.00,22.8,2.5,1.7,0.06,-1.5,-1.7
2517,1,0,0.0,0.07,0.00,0.00,,24.5,0.1,0.1,0.08,-0.1,-0.1
2518,34,17,50.0,3.81,1.90,0.26,0.53,9.0,9.6,9.6,0.30,-0.6,-0.6
2519,7,5,71.4,0.25,0.18,0.29,0.40,9.9,1.2,1.2,0.22,+0.8,+0.8
2520,4,1,25.0,0.28,0.07,0.00,0.00,25.3,0.3,0.3,0.08,-0.3,-0.3
2521,1,0,0.0,0.68,0.00,0.00,,11.5,0.1,0.1,0.09,-0.1,-0.1
2522,10,3,30.0,0.38,0.11,0.00,0.00,17.3,0.7,0.7,0.07,-0.7,-0.7
2523,18,4,22.2,1.84,0.41,0.06,0.25,16.9,2.7,1.9,0.11,-1.7,-0.9
2524,7,1,14.3,0.42,0.06,0.14,1.00,16.0,0.4,0.4,0.06,+0.6,+0.6
2525,13,3,23.1,0.87,0.20,0.15,0.67,23.2,0.8,0.8,0.06,+1.2,+1.2
2526,51,15,29.4,2.19,0.65,0.04,0.13,25.8,3.5,2.6,0.05,-0.5,-0.6
2527,26,6,23.1,1.54,0.36,0.04,0.17,24.3,1.4,1.4,0.05,-0.4,-0.4
2528,42,11,26.2,2.20,0.58,0.02,0.09,21.5,3.0,3.0,0.07,-2.0,-2.0
2529,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2530,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2531,12,6,50.0,2.46,1.23,0.42,0.83,14.8,2.3,2.3,0.19,+2.7,+2.7
2532,15,6,40.0,2.68,1.07,0.13,0.33,13.7,1.7,1.7,0.12,+0.3,+0.3
2533,11,5,45.5,0.55,0.25,0.18,0.40,14.6,1.6,1.6,0.14,+0.4,+0.4
2534,1,0,0.0,2.00,0.00,0.00,,10.8,0.1,0.1,0.11,-0.1,-0.1
2535,13,5,38.5,0.80,0.31,0.08,0.20,14.6,1.4,1.4,0.11,-0.4,-0.4
2536,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2537,1,1,100.0,0.31,0.31,0.00,0.00,39.5,0.0,0.0,0.01,0.0,0.0
2538,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2539,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2540,60,15,25.0,2.57,0.64,0.05,0.20,24.3,3.7,3.7,0.06,-0.7,-0.7
2541,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2542,78,36,46.2,2.82,1.30,0.29,0.64,12.1,12.3,12.3,0.16,+10.7,+10.7
2543,46,19,41.3,2.15,0.89,0.11,0.26,17.8,3.6,3.6,0.08,+1.4,+1.4
2544,15,6,40.0,0.64,0.25,0.20,0.50,13.7,2.6,2.6,0.17,+0.4,+0.4
2545,26,10,38.5,0.89,0.34,0.15,0.40,13.1,2.1,2.1,0.08,+1.9,+1.9
2546,5,2,40.0,0.20,0.08,0.00,0.00,16.6,0.6,0.6,0.11,-0.6,-0.6
2547,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2548,9,0,0.0,0.38,0.00,0.00,,13.0,0.7,0.7,0.08,-0.7,-0.7
2549,19,1,5.3,1.28,0.07,0.00,0.00,20.8,1.0,1.0,0.05,-1.0,-1.0
2550,12,1,8.3,0.52,0.04,0.00,0.00,16.3,1.0,1.0,0.08,-1.0,-1.0
2551,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2552,6,0,0.0,0.53,0.00,0.00,,28.4,0.2,0.2,0.03,-0.2,-0.2
2553,25,4,16.0,0.66,0.11,0.04,0.25,9.9,2.6,2.6,0.10,-1.6,-1.6
2554,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2555,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2556,7,1,14.3,1.38,0.20,0.00,0.00,26.1,0.2,0.2,0.02,-0.2,-0.2
2557,53,16,30.2,2.25,0.68,0.06,0.19,20.0,3.9,3.9,0.07,-0.9,-0.9
2558,3,1,33.3,5.40,1.80,0.00,0.00,23.9,0.1,0.1,0.03,-0.1,-0.1
2559,10,1,10.0,0.39,0.04,0.10,1.00,25.8,0.2,0.2,0.02,+0.8,+0.8
2560,1,0,0.0,2.09,0.00,0.00,,22.7,0.0,0.0,0.03,0.0,0.0
2561,44,15,34.1,1.89,0.64,0.09,0.27,20.3,2.6,2.6,0.06,+1.4,+1.4
2562,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2563,5,1,20.0,0.40,0.08,0.00,0.00,18.8,0.3,0.3,0.07,-0.3,-0.3
2564,27,7,25.9,1.22,0.32,0.11,0.43,22.2,1.3,1.3,0.05,+1.7,+1.7
2565,43,18,41.9,3.69,1.54,0.16,0.39,15.9,3.7,3.7,0.09,+3.3,+3.3
2566,21,11,52.4,2.31,1.21,0.24,0.45,15.1,3.5,3.5,0.17,+1.5,+1.5
2567,8,1,12.5,0.63,0.08,0.13,1.00,14.1,0.6,0.6,0.08,+0.4,+0.4
2568,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2569,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2570,8,3,37.5,0.56,0.21,0.00,0.00,21.3,0.3,0.3,0.04,-0.3,-0.3
2571,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2572,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2573,8,1,12.5,0.92,0.11,0.00,0.00,21.2,0.4,0.4,0.05,-0.4,-0.4
2574,38,16,42.1,2.24,0.94,0.18,0.44,12.8,5.2,5.2,0.14,+1.8,+1.8
2575,4,1,25.0,0.42,0.10,0.25,1.00,7.9,0.9,0.9,0.21,+0.1,+0.1
2576,3,1,33.3,0.97,0.32,0.00,0.00,17.6,0.3,0.3,0.09,-0.3,-0.3
2577,43,14,32.6,1.83,0.60,0.12,0.36,23.3,3.1,2.3,0.05,+2.9,+2.7
2578,47,14,29.8,2.47,0.74,0.09,0.29,18.2,4.7,3.9,0.08,+0.3,+0.1
2579,22,5,22.7,0.86,0.20,0.09,0.40,18.7,1.9,1.9,0.09,+0.1,+0.1
2580,7,2,28.6,0.50,0.14,0.00,0.00,19.1,0.4,0.4,0.05,-0.4,-0.4
2581,5,1,20.0,0.28,0.06,0.00,0.00,12.7,0.6,0.6,0.12,-0.6,-0.6
2582,37,12,32.4,2.11,0.68,0.03,0.08,18.8,2.3,2.3,0.06,-1.3,-1.3
2583,3,0,0.0,0.61,0.00,0.00,,10.6,0.3,0.3,0.09,-0.3,-0.3
2584,6,1,16.7,0.59,0.10,0.00,0.00,15.1,0.5,0.5,0.09,-0.5,-0.5
2585,31,6,19.4,2.34,0.45,0.03,0.17,14.3,3.8,3.8,0.12,-2.8,-2.8
2586,13,6,46.2,1.01,0.47,0.15,0.33,12.2,1.8,1.8,0.14,+0.2,+0.2
