Rk,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90
1353,60.82644628099174,0.37190082644628103,0.2892561983471075,77.8,30.950413223140497,142.1900826446281,79.21487603305785,1.322314049586777,0.9917355371900827,0.2066115702479339,0.7851239669421488,0.37190082644628103,38.264462809917354,1.2396694214876034
1354,38.51851851851852,7.222222222222221,3.0555555555555554,42.3,27.685185185185183,241.0185185185185,128.05555555555554,4.907407407407407,3.4259259259259256,2.685185185185185,2.0370370370370368,1.2962962962962963,28.98148148148148,7.592592592592592
1355,38.652482269503544,5.1063829787234045,1.9858156028368794,38.9,30.638297872340427,192.19858156028369,78.36879432624114,2.5531914893617023,1.2765957446808511,1.1347517730496455,3.6879432624113475,1.4893617021276595,29.929078014184398,8.865248226950355
1356,32.94117647058824,8.823529411764707,2.3529411764705883,26.7,24.705882352941178,197.64705882352942,105.88235294117648,3.5294117647058822,2.3529411764705883,1.1764705882352942,1.7647058823529411,4.705882352941177,27.058823529411764,5.294117647058823
1357,39.230769230769226,3.0769230769230766,0.0,0.0,22.307692307692307,160.0,103.84615384615384,5.384615384615384,3.846153846153846,0.7692307692307692,1.5384615384615383,1.5384615384615383,25.384615384615383,6.9230769230769225
1358,53.02521008403361,3.6134453781512605,1.8487394957983192,51.2,34.621848739495796,208.99159663865547,93.52941176470588,1.8487394957983192,1.5966386554621848,0.6722689075630252,1.5966386554621848,1.0924369747899159,31.512605042016805,7.226890756302521
1359,92.68571428571428,0.5714285714285714,0.34285714285714286,60.0,61.77142857142857,328.4,205.14285714285714,1.3714285714285714,0.9714285714285714,0.0,0.45714285714285713,0.2857142857142857,66.4,0.17142857142857143
1360,68.65030674846625,0.7975460122699386,0.5521472392638036,69.2,52.69938650306748,243.86503067484662,94.7239263803681,0.42944785276073616,0.7975460122699386,0.0,1.2269938650306749,0.8588957055214723,48.58895705521472,1.5337423312883436
1361,54.76190476190476,1.4285714285714286,0.9523809523809523,66.7,30.952380952380953,170.95238095238093,55.238095238095234,1.4285714285714286,0.47619047619047616,0.47619047619047616,1.9047619047619047,0.0,24.76190476190476,0.47619047619047616
1362,60.75471698113208,0.5660377358490566,0.37735849056603776,66.7,42.26415094339623,228.8679245283019,83.58490566037736,0.37735849056603776,0.9433962264150944,0.0,1.6981132075471699,0.7547169811320755,37.16981132075472,0.37735849056603776
1363,26.774193548387096,1.2903225806451613,0.3225806451612903,25.0,14.193548387096774,67.09677419354838,36.12903225806451,1.6129032258064515,0.3225806451612903,1.2903225806451613,2.258064516129032,0.3225806451612903,18.70967741935484,5.806451612903226
1364,17.5,0.0,0.0,,12.5,82.5,42.5,0.0,0.0,0.0,5.0,2.5,17.5,2.5
1365,53.46820809248555,3.9884393063583814,2.138728323699422,53.6,33.46820809248555,194.73988439306356,101.96531791907515,2.4277456647398843,1.9075144508670518,0.3468208092485549,2.3699421965317917,2.3699421965317917,37.167630057803464,3.236994219653179
1366,69.17888563049853,0.9970674486803519,0.5571847507331378,55.9,45.01466275659824,203.2258064516129,108.50439882697947,1.0850439882697946,0.5865102639296187,0.0879765395894428,0.7624633431085044,0.49853372434017595,48.94428152492669,0.9677419354838709
1367,59.657534246575345,1.7123287671232876,0.6506849315068494,38.0,32.26027397260274,183.52739726027397,100.75342465753425,2.7054794520547945,1.8493150684931507,0.7191780821917808,2.0547945205479454,1.4726027397260275,41.917808219178085,6.506849315068493
