Rk,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90
364,32.78,39.39,83.2,489.8,133.28,0.7,1.2,1.3,0.81,2.98,0.96,0.05,4.44
365,14.45,20.96,68.9,205.94,54.48,5.5,4.8,0.5,0.93,0.87,0.39,0.09,1.55
366,16.1,22.38,71.9,228.65,55.53,2.8,2.0,0.2,0.92,1.56,0.46,0.14,2.3
367,38.82,50.36,77.1,605.7,192.92,1.8,1.6,1.2,1.18,1.77,0.59,0.36,2.49
368,49.88,63.1,79.1,740.95,220.12,1.5,1.2,1.5,1.79,3.21,1.55,0.36,3.45
369,100.0,130.0,76.9,1200.0,500.0,0.1,0.0,-0.1,10.0,0.0,0.0,0.0,0.0
370,28.8,48.8,59.0,485.2,157.6,0.3,0.8,-0.3,2.4,1.6,1.6,1.2,3.6
371,38.67,44.74,86.4,681.59,234.67,1.4,0.6,-0.4,0.15,1.63,0.11,0.04,2.52
372,42.67,53.4,79.9,717.61,173.85,9.5,7.5,1.5,3.24,2.55,1.3,0.32,4.7
373,31.94,40.03,79.8,594.25,232.6,1.0,1.3,-1.0,0.12,1.73,0.03,0.0,2.14
374,18.0,30.0,60.0,284.0,36.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
375,50.61,60.94,83.0,1135.69,407.61,0.6,0.9,-0.6,0.2,3.84,0.27,0.1,4.07
376,23.33,33.33,70.0,276.67,23.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,26.57,32.86,80.9,712.57,474.57,0.0,0.1,0.0,0.14,0.43,0.29,0.0,0.14
378,34.0,44.75,76.0,846.25,626.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
379,33.14,40.14,82.6,545.86,178.86,0.1,0.3,-0.1,0.43,2.86,0.43,0.0,3.0
380,32.5,40.42,80.4,544.03,113.75,0.3,0.7,-0.3,0.83,2.22,1.53,0.42,3.47
381,46.27,53.76,86.1,969.5,358.13,0.4,0.8,-0.4,0.19,3.09,0.0,0.0,3.34
382,22.38,25.71,87.0,402.86,88.57,0.0,0.0,0.0,0.95,2.86,0.0,0.0,3.81
383,16.26,21.54,75.5,230.33,58.54,1.5,1.1,-0.5,0.65,1.79,0.98,0.16,3.01
384,18.33,24.67,74.3,289.67,69.33,0.3,0.2,-0.3,0.67,1.0,0.67,0.0,4.67
385,24.5,31.16,78.6,348.02,102.48,1.6,1.9,0.4,0.85,1.94,0.58,0.16,2.71
386,10.0,20.0,50.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,13.68,20.0,68.4,184.74,46.84,0.1,0.1,-0.1,0.53,1.58,0.26,0.0,0.79
388,20.0,40.0,50.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,16.6,18.8,88.3,186.4,18.2,0.2,0.3,-0.2,0.6,0.4,0.4,0.0,1.2
390,19.0,27.0,70.4,200.0,71.0,0.4,0.0,0.6,1.0,4.0,1.0,0.0,2.0
391,13.33,20.0,66.7,193.33,100.0,0.0,0.0,0.0,0.0,3.33,1.67,0.0,1.67
392,18.85,25.1,75.1,282.98,49.13,0.1,0.3,-0.1,0.29,1.06,0.48,0.0,1.73
393,30.65,42.58,72.0,498.39,214.84,1.0,0.5,0.0,2.58,4.52,3.87,0.97,6.77
394,43.27,52.16,83.0,885.96,366.43,0.1,0.3,-0.1,0.18,3.27,0.18,0.06,3.57
395,9.71,16.04,60.5,121.01,18.78,1.8,0.9,1.2,1.08,0.5,0.65,0.22,0.72
396,12.04,21.86,55.1,165.04,55.4,0.7,0.4,-0.7,0.71,0.53,0.27,0.09,1.68
397,34.0,44.24,76.9,528.24,137.96,2.1,2.1,-0.1,1.36,2.84,0.64,0.0,3.6
398,34.33,50.0,68.7,1103.0,865.67,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0
399,27.19,37.84,71.9,446.62,101.15,1.5,1.8,-1.5,1.8,0.86,0.94,0.14,2.73
400,32.22,40.0,80.6,437.22,57.22,0.3,0.1,-0.3,1.11,0.56,0.56,0.56,2.22
401,8.89,16.27,54.6,106.75,30.04,1.8,1.8,0.2,0.44,1.0,0.37,0.07,1.55
402,38.78,49.51,78.3,534.15,122.56,0.8,0.7,-0.8,0.73,1.34,0.98,0.98,0.98
403,46.81,52.75,88.8,786.59,237.14,0.1,0.0,-0.1,0.22,1.76,0.0,0.0,1.21
404,33.33,46.33,71.9,575.07,202.73,3.4,4.3,0.6,1.4,2.33,1.47,0.73,4.0
405,26.58,31.45,84.5,331.45,67.63,1.8,1.2,-0.8,1.18,1.71,0.92,0.07,2.76
406,36.01,42.24,85.3,625.16,187.01,0.1,0.4,-0.1,0.14,1.0,0.14,0.04,2.21
407,15.56,23.04,67.5,227.08,45.09,2.1,1.0,-0.1,0.88,1.17,0.47,0.29,1.64
408,15.0,30.0,50.0,245.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,29.73,39.08,76.1,565.0,226.58,1.4,0.9,2.6,0.71,3.15,0.49,0.16,3.64
410,44.59,55.02,81.0,739.34,271.85,1.1,1.1,0.9,0.33,2.21,0.23,0.1,2.48
411,10.0,10.0,100.0,80.0,0.0,0.1,0.0,0.9,10.0,0.0,0.0,0.0,0.0
412,30.0,40.0,75.0,290.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,42.73,62.27,68.6,823.79,318.48,0.3,0.5,-0.3,0.76,4.85,1.36,0.3,5.15
414,39.44,52.78,74.7,669.44,292.22,0.2,0.1,-0.2,1.67,1.11,0.56,0.0,1.67
415,36.0,52.0,69.2,508.0,158.0,0.2,0.1,-0.2,2.0,2.0,2.0,0.0,2.0
416,45.1,57.32,78.7,664.33,224.54,0.7,1.7,0.3,0.46,3.66,1.34,0.31,4.64
417,31.18,36.32,85.8,644.62,396.68,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.0
418,24.07,30.76,78.2,311.95,62.03,2.8,3.0,1.2,1.53,1.19,1.27,0.17,2.2
419,44.63,55.37,80.6,642.32,185.67,3.3,3.6,-1.3,1.95,4.09,1.46,0.0,6.46
420,24.67,32.67,75.5,428.8,135.33,0.4,0.6,-0.4,1.33,2.93,1.6,0.4,5.33
421,39.25,52.36,75.0,664.34,263.63,1.7,1.4,-0.7,0.99,3.16,0.61,0.24,3.96
422,40.51,55.18,73.4,785.11,338.8,2.9,3.5,0.1,0.91,4.46,1.41,0.51,5.22
423,59.97,66.64,90.0,933.84,257.26,2.6,2.0,0.4,0.72,5.53,0.63,0.0,5.44
424,68.24,77.09,88.5,1058.36,230.12,2.3,2.5,1.7,1.58,5.09,1.52,0.24,8.79
425,32.65,38.5,84.8,504.16,94.25,1.1,0.7,0.9,1.33,3.1,0.88,0.09,3.27
426,54.32,63.42,85.7,917.08,267.04,1.2,1.6,1.8,0.49,4.28,0.95,0.49,5.76
427,62.15,69.35,89.6,1094.44,331.8,1.2,0.9,3.8,0.65,3.6,0.38,0.11,3.68
428,50.0,60.0,83.3,862.5,292.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
429,52.39,57.73,90.8,999.75,327.86,0.6,0.2,0.4,0.21,2.52,0.04,0.04,2.35
430,47.56,54.48,87.3,906.43,326.38,1.0,1.1,-1.0,0.32,2.04,0.09,0.0,2.76
431,72.01,81.55,88.3,1315.92,395.81,4.7,5.8,-1.7,1.83,6.83,1.37,0.42,6.55
432,32.13,41.35,77.7,574.27,168.2,1.5,1.4,-0.5,1.8,2.58,1.57,0.22,3.93
433,10.29,18.26,56.4,121.04,26.85,3.1,1.6,-1.1,0.79,0.54,0.5,0.0,1.29
434,28.49,39.16,72.7,613.63,202.51,3.3,2.7,0.7,1.63,3.19,0.48,0.2,3.86
435,30.94,38.04,81.3,474.33,103.75,3.1,2.4,-0.1,1.43,2.81,0.8,0.45,3.62
436,61.48,66.87,91.9,1064.0,286.52,0.6,0.9,1.4,1.22,6.87,0.78,0.09,6.61
437,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,59.65,65.74,90.7,964.01,240.4,1.4,1.8,0.6,0.99,4.95,0.69,0.15,5.25
439,17.01,24.44,69.6,269.01,54.93,2.8,2.7,-1.8,1.09,0.77,0.88,0.53,2.22
440,38.14,45.72,83.4,612.61,133.56,3.9,3.8,-0.9,1.44,1.52,0.91,0.42,2.69
441,18.0,22.0,81.8,294.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
442,14.76,20.54,71.8,197.73,45.35,1.3,1.3,-0.3,1.08,1.19,0.65,0.0,2.22
443,71.05,85.26,83.3,1034.21,376.32,0.0,0.1,0.0,0.0,3.68,1.05,0.0,7.89
444,59.26,67.79,87.4,1047.88,337.14,1.5,1.3,0.5,0.92,5.07,0.37,0.0,5.07
445,11.16,19.05,58.6,163.07,39.65,2.9,2.1,0.1,0.85,0.65,0.45,0.15,1.31
446,55.14,66.62,82.8,883.17,237.01,6.1,6.7,-2.1,1.26,4.42,1.33,0.4,5.07
447,30.63,38.98,78.6,700.05,252.83,0.5,0.2,0.5,0.29,1.85,0.1,0.0,1.85
448,33.3,45.98,72.4,585.49,195.88,5.0,4.1,1.0,1.96,3.59,1.83,0.69,4.87
449,,,,,,0.0,0.0,0.0,,,,,
450,18.98,29.56,64.2,293.07,103.72,2.4,2.1,-0.4,0.88,2.12,1.24,0.29,3.8
451,10.0,15.0,66.7,105.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,20.0,40.0,50.0,260.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,43.15,50.19,86.0,710.25,193.52,0.6,1.0,0.4,0.56,4.51,0.68,0.06,4.94
454,30.62,38.75,79.0,557.5,148.44,0.7,0.7,-0.7,3.44,3.12,2.19,0.0,4.69
455,24.13,35.65,67.7,705.83,548.61,0.3,0.0,-0.3,0.09,0.57,0.0,0.0,0.0
456,11.63,15.32,75.9,151.77,28.09,0.7,0.8,-0.7,0.71,0.64,0.21,0.0,1.28
