Rk,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
2551,2.22,0.0,1.11,1.11,100.0,1.11,0.0,1.11,0.0,2.22,0.0
2552,2.02,0.96,1.32,2.19,60.0,0.79,0.26,0.53,1.75,1.23,0.18
2553,1.61,1.11,0.71,1.26,56.3,2.16,1.47,0.68,1.47,5.03,0.05
2554,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,0.0
2555,,,,,,,,,,,
2556,2.16,1.37,1.57,1.76,88.9,1.18,0.0,1.18,0.2,4.12,0.0
2557,2.26,1.45,1.11,2.04,54.2,1.32,0.13,1.19,0.21,0.98,0.0
2558,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,1.67,0.0
2559,1.35,0.77,0.66,1.35,48.6,1.04,0.42,0.62,0.73,3.01,0.0
2560,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2561,0.86,0.43,0.43,0.86,50.0,0.86,0.04,0.82,0.17,0.69,0.04
2562,2.03,1.35,1.2,2.5,47.9,0.89,0.36,0.52,1.2,2.55,0.1
2563,2.08,1.36,0.88,2.0,44.0,1.6,0.56,1.04,0.88,2.0,0.0
2564,1.72,1.04,0.41,0.81,50.0,0.95,0.59,0.36,1.27,2.35,0.05
2565,1.03,0.17,0.34,0.51,66.7,0.94,0.0,0.94,0.51,0.51,0.0
2566,1.43,0.88,0.55,1.1,50.0,1.1,0.0,1.1,0.33,0.88,0.0
2567,2.28,1.5,1.26,2.2,57.1,1.1,0.63,0.47,0.94,4.65,0.0
2568,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2569,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.11,0.11
2570,2.08,1.32,1.18,2.15,54.8,1.67,0.42,1.25,1.39,1.18,0.0
2571,2.5,2.5,1.25,3.75,33.3,3.75,0.0,3.75,0.0,1.25,0.0
2572,0.03,0.03,0.03,0.09,33.3,0.03,0.0,0.03,0.0,0.24,0.0
