,,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1520,1519.0,1462,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29,1993,33.0,4,48,18,37.5,1.46,0.55,0.08,0.22,16.6,0,0,0,4.6,4.6,0.10,-0.6,-0.6,Matches
1521,1520.0,1463,Álvaro Lemos,es ESP,DF,Las Palmas,es La Liga,30,1993,2.8,0,1,0,0.0,0.36,0.00,0.00,,29.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1522,1521.0,1464,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1523,1522.0,1465,Clément Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28,1995,12.8,0,8,2,25.0,0.62,0.16,0.00,0.00,10.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
1524,1523.0,1466,Bernd Leno,de GER,GK,Fulham,eng Premier League,31,1992,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1525,1524.0,1467,Christopher Lenz,de GER,"DF,MF",RB Leipzig,de Bundesliga,28,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1526,1525.0,1468,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1527,1526.0,1469,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20,2002,2.8,0,4,2,50.0,1.42,0.71,0.00,0.00,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1528,1527.0,1470,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,28,1994,26.7,1,34,9,26.5,1.27,0.34,0.03,0.11,19.7,0,0,0,2.7,2.7,0.08,-1.7,-1.7,Matches
1529,1528.0,1471,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23,2000,5.5,0,7,1,14.3,1.26,0.18,0.00,0.00,21.3,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
1530,1529.0,1472,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34,1988,30.6,19,90,37,41.1,2.95,1.21,0.17,0.41,13.9,3,4,4,18.1,15.0,0.17,+0.9,0.0,Matches
1531,1530.0,1473,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,22,2001,16.9,4,44,22,50.0,2.60,1.30,0.09,0.18,15.9,0,0,0,6.1,6.1,0.14,-2.1,-2.1,Matches
1532,1531.0,1474,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18,2004,9.0,2,5,4,80.0,0.56,0.44,0.40,0.50,15.5,0,0,0,0.6,0.6,0.13,+1.4,+1.4,Matches
1533,1532.0,1475,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,eng Premier League,22,2001,16.0,3,43,20,46.5,2.69,1.25,0.07,0.15,12.8,0,0,0,6.3,6.3,0.15,-3.3,-3.3,Matches
1534,1533.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1535,1534.0,1476,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27,1996,14.1,1,7,3,42.9,0.50,0.21,0.14,0.33,9.6,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches
1536,1535.0,1477,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23,1999,15.4,2,14,6,42.9,0.91,0.39,0.14,0.33,9.7,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
1537,1536.0,1478,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29,1994,14.8,1,6,4,66.7,0.41,0.27,0.17,0.25,10.4,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
1538,1537.0,1479,Jesper Lindstrøm,dk DEN,"FW,MF",Napoli,it Serie A,23,2000,4.8,0,14,2,14.3,2.93,0.42,0.00,0.00,21.4,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
1539,1538.0,1480,Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,de Bundesliga,23,2000,0.9,0,1,0,0.0,1.08,0.00,0.00,,11.1,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
1540,1539.0,1481,Karol Linetty,pl POL,MF,Torino,it Serie A,28,1995,20.6,0,16,1,6.3,0.78,0.05,0.00,0.00,25.4,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
1541,1540.0,1482,Samuel Lino,br BRA,"DF,MF",Atlético Madrid,es La Liga,23,1999,23.1,4,54,21,38.9,2.34,0.91,0.07,0.19,16.6,0,0,0,5.6,5.6,0.10,-1.6,-1.6,Matches
1542,1541.0,1483,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,18,2005,4.3,0,3,1,33.3,0.70,0.23,0.00,0.00,13.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1543,1542.0,1484,Pol Lirola,es ESP,DF,Frosinone,it Serie A,25,1997,17.1,2,9,3,33.3,0.53,0.18,0.22,0.67,19.0,0,0,0,1.3,1.3,0.15,+0.7,+0.7,Matches
1544,1543.0,1485,Marcin Listkowski,pl POL,FW,Lecce,it Serie A,25,1998,0.1,0,1,0,0.0,11.25,0.00,0.00,,24.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
1545,1544.0,1486,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,20,2002,14.6,1,4,2,50.0,0.27,0.14,0.25,0.50,12.9,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
1546,1545.0,1487,Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,25,1997,22.8,0,38,9,23.7,1.67,0.40,0.00,0.00,21.8,0,0,0,1.9,1.9,0.05,-1.9,-1.9,Matches
1547,1546.0,1488,Javier Llabrés,es ESP,"MF,FW",Mallorca,es La Liga,20,2002,2.7,1,9,4,44.4,3.28,1.46,0.11,0.25,19.9,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
1548,1547.0,1489,Diego Llorente,es ESP,DF,Roma,it Serie A,29,1993,24.1,1,9,4,44.4,0.37,0.17,0.11,0.25,19.8,1,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
1549,1548.0,1490,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,28,1995,28.5,6,30,19,63.3,1.05,0.67,0.20,0.32,15.4,0,0,0,4.1,4.1,0.14,+1.9,+1.9,Matches
1550,1549.0,1491,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28,1995,30.9,2,16,4,25.0,0.52,0.13,0.13,0.50,8.4,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Matches
1551,1550.0,1492,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23,2000,2.2,0,1,0,0.0,0.46,0.00,0.00,,7.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
1552,1551.0,1493,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27,1996,5.6,2,13,6,46.2,2.31,1.07,0.15,0.33,21.7,0,0,0,0.6,0.6,0.04,+1.4,+1.4,Matches
1553,1552.0,1494,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28,1994,36.5,0,14,4,28.6,0.38,0.11,0.00,0.00,26.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
1554,1553.0,1495,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25,1998,33.4,1,24,3,12.5,0.72,0.09,0.04,0.33,22.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
1555,1554.0,1496,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21,2002,32.9,0,12,2,16.7,0.36,0.06,0.00,0.00,26.8,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
1556,1555.0,1497,Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,28,1994,13.0,1,7,1,14.3,0.54,0.08,0.14,1.00,8.5,0,0,0,1.1,1.1,0.15,-0.1,-0.1,Matches
1557,1556.0,1498,Renan Lodi,br BRA,DF,Marseille,fr Ligue 1,25,1998,13.7,0,6,2,33.3,0.44,0.15,0.00,0.00,22.5,3,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1558,1557.0,1499,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,27,1996,23.0,6,40,14,35.0,1.74,0.61,0.15,0.43,16.6,0,0,0,3.7,3.7,0.09,+2.3,+2.3,Matches
1559,1558.0,1500,Andy Logbo,fr FRA,FW,Le Havre,fr Ligue 1,19,2004,2.8,0,4,0,0.0,1.45,0.00,0.00,,13.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
1560,1559.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1561,1560.0,1501,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,22,2000,19.9,0,16,6,37.5,0.80,0.30,0.00,0.00,23.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
1562,1561.0,1502,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25,1997,30.5,6,41,15,36.6,1.34,0.49,0.15,0.40,14.5,0,0,0,6.6,6.6,0.16,-0.6,-0.6,Matches
1563,1562.0,1503,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25,1997,21.0,11,67,24,35.8,3.18,1.14,0.16,0.46,14.3,0,0,0,9.1,9.1,0.14,+1.9,+1.9,Matches
1564,1563.0,1504,Noah Loosli,ch SUI,DF,Bochum,de Bundesliga,26,1997,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1565,1564.0,1505,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,1990,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1566,1565.0,1506,David López,es ESP,DF,Girona,es La Liga,33,1989,21.8,3,16,5,31.3,0.73,0.23,0.19,0.60,15.0,0,0,0,2.1,1.9,0.12,+0.9,+1.1,Matches
1567,1566.0,1507,Diego López,es ESP,"MF,FW",Valencia,es La Liga,21,2002,29.5,3,41,15,36.6,1.39,0.51,0.07,0.20,15.4,0,0,0,3.7,3.7,0.09,-0.7,-0.7,Matches
1568,1567.0,1508,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20,2003,16.1,8,51,24,47.1,3.17,1.49,0.16,0.33,15.9,0,0,0,7.5,7.5,0.15,+0.5,+0.5,Matches
1569,1568.0,1509,Javi López,es ESP,DF,Alavés,es La Liga,21,2002,26.5,1,18,3,16.7,0.68,0.11,0.06,0.33,17.4,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
1570,1569.0,1510,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,25,1997,8.9,0,4,2,50.0,0.45,0.23,0.00,0.00,20.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1571,1570.0,1511,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25,1997,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1572,1571.0,1512,Pau López,es ESP,GK,Marseille,fr Ligue 1,28,1994,32.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1573,1572.0,1513,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27,1995,23.4,1,32,5,15.6,1.37,0.21,0.03,0.20,28.0,3,0,0,1.1,1.1,0.04,-0.1,-0.1,Matches
1574,1573.0,1514,Dion Lopy,sn SEN,MF,Almería,es La Liga,21,2002,21.3,0,23,8,34.8,1.08,0.38,0.00,0.00,26.2,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
1575,1574.0,1515,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37,1986,28.6,1,28,6,21.4,0.98,0.21,0.04,0.17,18.0,0,0,0,2.3,2.3,0.08,-1.3,-1.3,Matches
1576,1575.0,1516,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24,1998,20.0,1,11,2,18.2,0.55,0.10,0.09,0.50,15.5,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
1577,1576.0,1517,Tom Louchet,fr FRA,"MF,DF",Nice,fr Ligue 1,20,2003,4.5,1,2,1,50.0,0.44,0.22,0.50,1.00,11.4,0,0,0,1.0,1.0,0.51,0.0,0.0,Matches
1578,1577.0,1518,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24,1999,9.6,1,22,5,22.7,2.29,0.52,0.05,0.20,23.2,2,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
1579,1578.0,1519,Matteo Lovato,it ITA,DF,Torino,it Serie A,23,2000,6.0,0,1,0,0.0,0.17,0.00,0.00,,12.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1580,1579.0,1520,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23,2000,10.5,0,1,0,0.0,0.10,0.00,0.00,,10.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1581,1580.0,1521,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34,1989,8.0,0,6,4,66.7,0.75,0.50,0.00,0.00,12.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
1582,1581.0,1522,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25,1998,22.1,1,43,12,27.9,1.95,0.54,0.02,0.08,22.1,2,0,0,3.5,3.5,0.08,-2.5,-2.5,Matches
1583,1582.0,1523,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,26,1997,5.6,0,2,0,0.0,0.36,0.00,0.00,,10.4,0,0,0,0.6,0.6,0.29,-0.6,-0.6,Matches
1584,1583.0,1524,Anthony Lozano,hn HON,"MF,FW",Getafe,es La Liga,30,1993,1.0,0,4,0,0.0,3.91,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1585,1584.0,1525,Anthony Lozano,hn HON,FW,Almería,es La Liga,30,1993,8.6,3,23,9,39.1,2.68,1.05,0.13,0.33,13.3,0,0,0,3.3,3.3,0.14,-0.3,-0.3,Matches
1586,1585.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1587,1586.0,1526,Lucas,br BRA,DF,Cádiz,es La Liga,22,2001,17.1,1,11,4,36.4,0.64,0.23,0.09,0.25,21.5,3,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
1588,1587.0,1527,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22,2000,28.8,8,61,25,41.0,2.12,0.87,0.13,0.32,12.9,1,0,0,7.8,7.8,0.13,+0.2,+0.2,Matches
1589,1588.0,1528,Jhon Lucumí,co COL,DF,Bologna,it Serie A,25,1998,24.6,0,11,2,18.2,0.45,0.08,0.00,0.00,16.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
1590,1589.0,1529,José Luis Gayà,es ESP,DF,Valencia,es La Liga,28,1995,19.9,1,10,1,10.0,0.50,0.05,0.10,1.00,20.1,1,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
1591,1590.0,1530,José Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36,1987,11.6,7,26,12,46.2,2.23,1.03,0.27,0.58,13.3,0,0,0,5.6,5.6,0.21,+1.4,+1.4,Matches
1592,1591.0,1531,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1593,1592.0,1532,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25,1998,33.3,9,44,13,29.5,1.32,0.39,0.11,0.38,23.3,5,4,4,6.9,3.8,0.09,+2.1,+1.2,Matches
1594,1593.0,1533,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30,1993,29.3,13,64,27,42.2,2.18,0.92,0.20,0.48,14.1,0,0,1,9.8,9.0,0.14,+3.2,+4.0,Matches
1595,1594.0,1534,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20,2002,24.3,1,7,3,42.9,0.29,0.12,0.14,0.33,10.6,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
1596,1595.0,1535,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25,1997,12.5,5,42,17,40.5,3.36,1.36,0.12,0.29,14.4,1,0,0,5.6,5.6,0.13,-0.6,-0.6,Matches
1597,1596.0,1536,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26,1996,12.5,1,13,3,23.1,1.04,0.24,0.08,0.33,17.1,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
1598,1597.0,1537,Karlo Lulić,hr CRO,MF,Frosinone,it Serie A,27,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1599,1598.0,1538,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,1999,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1600,1599.0,1539,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26,1996,37.8,1,19,3,15.8,0.50,0.08,0.05,0.33,15.1,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
1601,1600.0,1540,Mateus Lusuardi,br BRA,DF,Frosinone,it Serie A,19,2004,2.4,0,1,0,0.0,0.41,0.00,0.00,,9.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
1602,1601.0,1541,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1603,1602.0,1542,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,21,2002,21.6,4,51,16,31.4,2.36,0.74,0.08,0.25,17.3,0,0,0,4.0,4.0,0.08,0.0,0.0,Matches
1604,1603.0,1543,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29,1993,10.0,2,15,4,26.7,1.49,0.40,0.13,0.50,21.9,4,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
1605,1604.0,1544,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,24,1999,20.0,0,12,2,16.7,0.60,0.10,0.00,0.00,25.1,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
1606,1605.0,1545,Joshua M'Bahia,ci CIV,MF,Clermont Foot,fr Ligue 1,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1607,1606.0,1546,Othmane Maamma,fr FRA,FW,Montpellier,fr Ligue 1,17,2005,1.0,1,3,1,33.3,3.07,1.02,0.33,1.00,14.6,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
1608,1607.0,1547,Ian Maatsen,nl NED,"FW,MF",Chelsea,eng Premier League,21,2002,2.3,0,5,0,0.0,2.15,0.00,0.00,,17.1,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
1609,1608.0,1548,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21,2002,14.0,2,11,4,36.4,0.78,0.28,0.18,0.50,19.5,0,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches
1610,1609.0,1549,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,24,1998,28.9,5,43,8,18.6,1.49,0.28,0.09,0.50,23.3,2,1,1,3.7,2.9,0.07,+1.3,+1.1,Matches
1611,1610.0,1550,Deiver Machado,co COL,DF,Lens,fr Ligue 1,29,1993,12.5,4,16,8,50.0,1.28,0.64,0.25,0.50,18.2,1,0,0,1.7,1.7,0.10,+2.3,+2.3,Matches
1612,1611.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1613,1612.0,1551,Darwin Machís,ve VEN,MF,Cádiz,es La Liga,30,1993,8.7,4,20,9,45.0,2.29,1.03,0.15,0.33,24.2,1,1,1,1.4,0.6,0.03,+2.6,+2.4,Matches
1614,1613.0,1552,James Maddison,eng ENG,MF,Tottenham,eng Premier League,26,1996,23.7,4,58,23,39.7,2.44,0.97,0.07,0.17,19.2,3,0,0,6.4,6.4,0.11,-2.4,-2.4,Matches
1615,1614.0,1553,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21,2002,11.7,5,31,12,38.7,2.65,1.03,0.13,0.33,19.0,0,1,1,2.5,1.7,0.05,+2.5,+2.3,Matches
1616,1615.0,1554,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26,1997,16.2,1,11,4,36.4,0.68,0.25,0.09,0.25,23.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
1617,1616.0,1555,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,25,1997,33.8,4,31,10,32.3,0.92,0.30,0.13,0.40,7.9,0,0,0,4.3,4.3,0.14,-0.3,-0.3,Matches
1618,1617.0,1556,Soungoutou Magassa,fr FRA,"DF,MF",Monaco,fr Ligue 1,19,2003,15.0,0,8,2,25.0,0.53,0.13,0.00,0.00,19.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
1619,1618.0,1557,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25,1998,20.0,4,23,10,43.5,1.15,0.50,0.17,0.40,14.2,0,0,0,2.3,2.3,0.10,+1.7,+1.7,Matches
1620,1619.0,1558,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24,1998,18.9,1,10,2,20.0,0.53,0.11,0.10,0.50,20.8,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
1621,1620.0,1559,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27,1995,27.2,0,11,2,18.2,0.41,0.07,0.00,0.00,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
1622,1621.0,1560,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25,1998,26.0,2,36,10,27.8,1.38,0.38,0.06,0.20,23.9,0,0,0,2.4,2.4,0.07,-0.4,-0.4,Matches
1623,1622.0,1561,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26,1997,18.7,1,14,5,35.7,0.75,0.27,0.07,0.20,14.2,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
1624,1623.0,1562,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,23,1999,16.0,5,41,14,34.1,2.57,0.88,0.12,0.36,16.3,0,0,0,3.1,3.1,0.07,+1.9,+1.9,Matches
1625,1624.0,1563,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30,1993,18.4,2,20,3,15.0,1.09,0.16,0.10,0.67,11.5,0,0,0,2.0,2.0,0.10,0.0,0.0,Matches
1626,1625.0,1564,Jon Magunacelaya,es ESP,"FW,MF",Real Sociedad,es La Liga,23,2000,1.3,0,4,0,0.0,2.98,0.00,0.00,,15.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
1627,1626.0,1565,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1628,1627.0,1566,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24,1999,11.1,2,22,5,22.7,1.97,0.45,0.09,0.40,22.2,3,0,0,1.5,1.5,0.07,+0.5,+0.5,Matches
1629,1628.0,1567,Habib Maïga,ci CIV,"MF,FW",Metz,fr Ligue 1,27,1996,1.6,0,2,0,0.0,1.22,0.00,0.00,,9.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1630,1629.0,1568,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,1995,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1631,1630.0,1569,Linton Maina,de GER,"FW,MF",Köln,de Bundesliga,24,1999,21.1,1,33,11,33.3,1.56,0.52,0.03,0.09,19.8,0,0,0,1.9,1.9,0.06,-0.9,-0.9,Matches
1632,1631.0,1570,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,28,1994,34.0,2,29,6,20.7,0.85,0.18,0.07,0.33,9.4,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
1633,1632.0,1571,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,18,2005,21.4,3,11,5,45.5,0.51,0.23,0.27,0.60,21.1,0,0,0,0.9,0.9,0.08,+2.1,+2.1,Matches
1634,1633.0,1572,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,25,1997,15.9,1,17,5,29.4,1.07,0.31,0.00,0.00,13.9,0,1,1,3.0,2.2,0.16,-2.0,-2.2,Matches
1635,1634.0,1573,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,23,1999,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1636,1635.0,1574,Lovro Majer,hr CRO,MF,Rennes,fr Ligue 1,25,1998,0.2,0,1,0,0.0,5.63,0.00,0.00,,22.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1637,1636.0,1575,Lovro Majer,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,25,1998,23.4,5,35,10,28.6,1.50,0.43,0.09,0.30,21.1,2,2,2,5.4,3.8,0.11,-0.4,-0.8,Matches
1638,1637.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1639,1638.0,1576,Jean-Victor Makengo,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,5.3,0,5,2,40.0,0.94,0.38,0.00,0.00,25.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1640,1639.0,1577,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,21,2001,11.4,0,3,0,0.0,0.26,0.00,0.00,,16.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
1641,1640.0,1578,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,25,1998,30.0,1,8,2,25.0,0.27,0.07,0.13,0.50,21.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
1642,1641.0,1579,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28,1995,36.3,4,34,15,44.1,0.94,0.41,0.12,0.27,11.7,0,0,0,5.5,5.5,0.16,-1.5,-1.5,Matches
1643,1642.0,1580,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,22,2001,6.7,1,3,1,33.3,0.45,0.15,0.33,1.00,19.3,0,0,0,1.0,1.0,0.33,0.0,0.0,Matches
