,,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,0.0,1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,0,2,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
2,1.0,2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
3,2.0,3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
4,3.0,4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,4.0,5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,+0.6,+0.4,Matches
6,5.0,6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,0,5,0,0.0,0.30,0.00,0.00,,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
7,6.0,7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,7.0,8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,+0.9,+0.9,Matches
9,8.0,9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,+1.2,+1.2,Matches
10,9.0,10,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,0,4,0,0.0,0.26,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
11,10.0,11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,+0.2,0.0,Matches
12,11.0,12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.00,0.00,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
13,12.0,13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,1,4,2,50.0,1.49,0.74,0.25,0.50,11.9,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
14,13.0,14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,3,15,6,40.0,0.57,0.23,0.20,0.50,12.0,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Matches
15,14.0,15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,15.0,16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
17,16.0,17,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,20,2002,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
